player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,8,0,3,2,66.7,6,3,50.0,14,28.8,0,0,,19,14,73.7,0,3,3,100.0,17,12,70.6,5,4,80.0
Matt Bryant,1223,,ATL,7,0,6,2,33.3,3,3,100.0,2,36.8,0,0,,15,14,93.3,0,4,3,75.0,14,9,64.3,1,1,100.0
Mike Nugent,2264,,NE,4,0,0,0,,1,0,0.0,19,47.5,0,0,,16,15,93.8,0,3,2,66.7,8,5,62.5,4,3,75.0
Robbie Gould,2607,K,SF,8,0,3,0,0.0,4,2,50.0,28,47.6,0,0,,26,26,100.0,0,6,4,66.7,20,13,65.0,7,7,100.0
Stephen Gostkowski,3063,K,NE,4,0,0,0,,2,1,50.0,19,33.1,0,0,,15,11,73.3,0,3,3,100.0,8,7,87.5,3,3,100.0
Matt Prater,3471,K,DET,8,0,6,5,83.3,5,3,60.0,11,73.2,0,0,,22,21,95.5,0,2,2,100.0,18,15,83.3,5,5,100.0
Nick Folk,3794,,NE,1,0,0,0,,0,0,,19,62.9,1,1,100.0,2,2,100.0,0,0,0,,2,2,100.0,1,1,100.0
Mason Crosby,3809,K,GB,9,0,1,1,100.0,4,3,75.0,12,74.1,0,0,,26,26,100.0,0,6,6,100.0,13,12,92.3,2,2,100.0
Stephen Hauschka,4655,K,BUF,8,0,2,0,0.0,7,6,85.7,4,66.5,0,0,,17,16,94.1,0,2,2,100.0,11,8,72.7,0,0,
Ryan Succop,5180,K,TEN,1,0,1,0,0.0,2,0,0.0,31,28.4,0,0,,2,2,100.0,0,0,0,,3,0,0.0,0,0,
Dan Bailey,6796,K,MIN,8,0,2,2,100.0,5,3,60.0,18,62.0,0,0,,27,25,92.6,0,4,4,100.0,15,13,86.7,4,4,100.0
Randy Bullock,7154,K,CIN,8,0,1,0,0.0,3,2,66.7,7,62.0,0,0,,13,13,100.0,0,3,3,100.0,13,11,84.6,6,6,100.0
Greg Zuerlein,7163,K,LA,8,0,4,4,100.0,7,3,42.9,26,67.7,0,0,,22,22,100.0,0,3,3,100.0,20,16,80.0,6,6,100.0
Justin Tucker,7604,K,BLT,8,0,1,1,100.0,5,5,100.0,3,81.2,0,0,,25,24,96.0,0,4,4,100.0,17,17,100.0,7,7,100.0
Dustin Hopkins,7958,K,WAS,9,0,1,0,0.0,4,3,75.0,32,50.1,0,0,,9,9,100.0,0,5,4,80.0,14,11,78.6,4,4,100.0
Brandon McManus,8437,K,DEN,9,0,3,1,33.3,6,5,83.3,10,55.9,0,0,,13,12,92.3,0,5,5,100.0,18,15,83.3,4,4,100.0
Brett Maher,8585,K,DAL,8,0,7,4,57.1,1,0,0.0,9,72.5,0,0,,26,26,100.0,0,4,3,75.0,18,13,72.2,6,6,100.0
Cairo Santos,8932,K,TEN,5,0,3,1,33.3,3,2,66.7,31,47.6,0,0,,12,12,100.0,0,3,1,33.3,9,4,44.4,0,0,
Chris Boswell,8990,K,PIT,8,0,2,1,50.0,6,6,100.0,25,74.8,1,1,100.0,17,17,100.0,0,3,3,100.0,18,17,94.4,6,6,100.0
Cody Parkey,9030,,TEN,2,0,1,1,100.0,2,2,100.0,31,60.8,0,0,,6,5,83.3,0,0,0,,3,3,100.0,0,0,
Ty Long,9728,K,LAC,4,0,1,1,100.0,5,4,80.0,27,59.9,0,0,,9,9,100.0,0,3,2,66.7,9,7,77.8,0,0,
Josh Lambo,10133,K,JAX,9,0,0,0,,5,5,100.0,15,73.4,0,0,,13,12,92.3,0,9,9,100.0,22,22,100.0,8,8,100.0
Jason Myers,10207,K,SEA,9,0,3,1,33.3,5,2,40.0,29,41.8,0,0,,26,24,92.3,0,6,6,100.0,17,12,70.6,3,3,100.0
Wil Lutz,11096,K,NO,8,0,4,2,50.0,7,5,71.4,20,54.2,1,1,100.0,20,19,95.0,0,4,4,100.0,20,16,80.0,4,4,100.0
Ka'imi Fairbairn,11161,K,HST,9,0,5,2,40.0,5,4,80.0,13,31.7,0,0,,28,23,82.1,0,4,4,100.0,17,13,76.5,3,3,100.0
Aldrick Rosas,11331,K,NYG,9,0,0,0,,1,0,0.0,21,46.3,0,0,,20,18,90.0,0,4,3,75.0,10,8,80.0,5,5,100.0
Sam Ficken,11437,K,NYJ,6,0,2,1,50.0,3,2,66.7,22,55.0,0,0,,7,7,100.0,0,1,1,100.0,7,5,71.4,1,1,100.0
Jake Elliott,11908,K,PHI,9,0,1,1,100.0,2,2,100.0,24,66.9,0,0,,22,20,90.9,0,4,4,100.0,12,12,100.0,5,5,100.0
Zane Gonzalez,11979,K,ARZ,9,0,1,1,100.0,5,3,60.0,1,64.6,0,0,,15,15,100.0,0,10,9,90.0,25,22,88.0,9,9,100.0
Harrison Butker,11988,K,KC,9,0,3,1,33.3,6,6,100.0,16,66.0,0,0,,28,27,96.4,0,6,5,83.3,22,19,86.4,7,7,100.0
Austin Seibert,13701,K,CLV,8,0,0,0,,4,4,100.0,8,62.0,0,0,,14,12,85.7,0,6,6,100.0,14,14,100.0,4,4,100.0
