player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,6,0,1,0,0.0,3,2,66.7,14,29.7,0,0,,16,13,81.3,0,3,3,100.0,11,8,72.7,4,3,75.0
Matt Bryant,1223,,ATL,6,0,4,2,50.0,2,2,100.0,2,43.1,0,0,,15,14,93.3,0,3,2,66.7,10,7,70.0,1,1,100.0
Mike Nugent,2264,,NE,3,0,0,0,,1,0,0.0,19,51.8,0,0,,13,12,92.3,0,2,2,100.0,4,3,75.0,1,1,100.0
Robbie Gould,2607,K,SF,6,0,3,0,0.0,4,2,50.0,28,41.4,0,0,,16,16,100.0,0,6,4,66.7,19,12,63.2,6,6,100.0
Stephen Gostkowski,3063,K,NE,4,0,0,0,,2,1,50.0,19,33.1,0,0,,15,11,73.3,0,3,3,100.0,8,7,87.5,3,3,100.0
Matt Prater,3471,K,DET,6,0,4,4,100.0,5,3,60.0,11,74.3,0,0,,15,14,93.3,0,2,2,100.0,15,13,86.7,4,4,100.0
Mason Crosby,3809,K,GB,7,0,0,0,,4,3,75.0,12,70.8,0,0,,22,22,100.0,0,5,5,100.0,11,10,90.9,2,2,100.0
Stephen Hauschka,4655,K,BUF,6,0,1,0,0.0,6,5,83.3,4,69.4,0,0,,12,12,100.0,0,2,2,100.0,9,7,77.8,0,0,
Dan Bailey,6796,K,MIN,6,0,1,1,100.0,4,2,50.0,18,63.4,0,0,,23,22,95.7,0,4,4,100.0,10,8,80.0,1,1,100.0
Randy Bullock,7154,K,CIN,7,0,1,0,0.0,3,2,66.7,7,61.2,0,0,,12,12,100.0,0,3,3,100.0,12,10,83.3,5,5,100.0
Greg Zuerlein,7163,K,LA,7,0,4,4,100.0,7,3,42.9,26,66.8,0,0,,19,19,100.0,0,3,3,100.0,19,15,78.9,5,5,100.0
Justin Tucker,7604,K,BLT,7,0,1,1,100.0,5,5,100.0,3,86.7,0,0,,20,20,100.0,0,3,3,100.0,16,16,100.0,7,7,100.0
Dustin Hopkins,7958,K,WAS,7,0,1,0,0.0,3,2,66.7,32,44.2,0,0,,9,9,100.0,0,2,1,50.0,8,5,62.5,2,2,100.0
Brandon McManus,8437,K,DEN,7,0,3,1,33.3,5,4,80.0,10,49.5,0,0,,9,8,88.9,0,5,5,100.0,15,12,80.0,2,2,100.0
Brett Maher,8585,K,DAL,7,0,5,3,60.0,1,0,0.0,9,73.6,0,0,,22,22,100.0,0,3,2,66.7,14,10,71.4,5,5,100.0
Cairo Santos,8932,K,TEN,5,0,3,1,33.3,3,2,66.7,31,47.6,0,0,,12,12,100.0,0,3,1,33.3,9,4,44.4,0,0,
Chris Boswell,8990,K,PIT,6,0,0,0,,4,4,100.0,25,75.1,1,1,100.0,12,12,100.0,0,2,2,100.0,11,11,100.0,4,4,100.0
Cody Parkey,9030,,TEN,1,0,0,0,,1,1,100.0,31,49.6,0,0,,3,2,66.7,0,0,0,,1,1,100.0,0,0,
Ty Long,9728,K,LAC,4,0,1,1,100.0,5,4,80.0,27,59.9,0,0,,9,9,100.0,0,3,2,66.7,9,7,77.8,0,0,
Josh Lambo,10133,K,JAX,7,0,0,0,,4,4,100.0,15,78.7,0,0,,10,10,100.0,0,8,8,100.0,18,18,100.0,6,6,100.0
Jason Myers,10207,K,SEA,7,0,2,0,0.0,2,1,50.0,29,53.5,0,0,,20,19,95.0,0,5,5,100.0,11,8,72.7,2,2,100.0
Wil Lutz,11096,K,NO,7,0,4,2,50.0,6,5,83.3,20,56.8,1,1,100.0,16,15,93.8,0,4,4,100.0,18,15,83.3,3,3,100.0
Ka'imi Fairbairn,11161,K,HST,7,0,3,1,33.3,3,2,66.7,13,29.1,0,0,,22,18,81.8,0,3,3,100.0,12,9,75.0,3,3,100.0
Aldrick Rosas,11331,K,NYG,7,0,0,0,,1,0,0.0,21,57.2,0,0,,16,16,100.0,0,4,3,75.0,6,4,66.7,1,1,100.0
Sam Ficken,11437,K,NYJ,4,0,1,0,0.0,1,1,100.0,22,55.0,0,0,,5,5,100.0,0,1,1,100.0,3,2,66.7,0,0,
Jake Elliott,11908,K,PHI,7,0,1,1,100.0,2,2,100.0,24,75.3,0,0,,17,17,100.0,0,2,2,100.0,8,8,100.0,3,3,100.0
Zane Gonzalez,11979,K,ARZ,7,0,0,0,,5,3,60.0,1,60.7,0,0,,13,13,100.0,0,7,6,85.7,21,18,85.7,9,9,100.0
Harrison Butker,11988,K,KC,7,0,1,0,0.0,4,4,100.0,16,60.9,0,0,,23,22,95.7,0,6,5,83.3,16,14,87.5,5,5,100.0
Austin Seibert,13701,K,CLV,6,0,0,0,,3,3,100.0,8,56.3,0,0,,12,10,83.3,0,2,2,100.0,8,8,100.0,3,3,100.0
Daniel Carlson,28121,K,OAK,6,0,1,0,0.0,2,2,100.0,23,67.0,0,0,,16,16,100.0,0,0,0,,6,5,83.3,3,3,100.0
Kaare Vedvik,28782,P,NYJ,1,0,0,0,,1,0,0.0,22,29.8,0,0,,1,0,0.0,0,0,0,,1,0,0.0,0,0,
Jason Sanders,29578,K,MIA,5,0,3,1,33.3,1,0,0.0,17,47.8,0,0,,6,6,100.0,0,3,3,100.0,8,5,62.5,1,1,100.0
Chase McLaughlin,33285,K,LAC,3,0,1,1,100.0,3,1,33.3,27,62.4,0,0,,5,5,100.0,0,2,2,100.0,7,5,71.4,1,1,100.0
Joey Slye,39235,K,CAR,6,0,7,4,57.1,6,4,66.7,5,68.5,0,0,,18,17,94.4,0,3,3,100.0,18,13,72.2,2,2,100.0
Eddy Pineiro,44140,K,CHI,6,0,2,2,100.0,3,2,66.7,6,74.9,0,0,,11,11,100.0,0,4,4,100.0,10,9,90.0,1,1,100.0
Matt Gay,57643,K,TB,6,0,3,3,100.0,4,3,75.0,30,54.2,0,0,,18,16,88.9,0,3,2,66.7,13,11,84.6,3,3,100.0
