player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jamison Crowder,9538,WR,NYJ,1,15,0,22,1.5,0,100.0,,0,0,0.0,0,2,0,68.3,69.7,0,12,0.0,0,15,2,100.0,15,104.2,2,13.3,0,18,15,7.5,9.0,1.2,0,2.0,1,91.7,,0,0,8.3,1,4,0,60.6,70.2,0,19,0.0,0,29,11,96.6,28,93.1,12,80.0,0,76,54,4.9,6.9,2.71
Evan Engram,11778,TE,NYG,1,14,0,21,5.0,0,0.0,0.0,0,1,,0,0,0,,50.5,0,0,11.1,1,9,0,88.9,8,39.6,1,7.1,0,0,0,,,0.0,0,6.0,1,83.3,100.0,1,1,0.0,0,7,0,78.0,90.0,0,22,0.0,0,33,10,93.9,31,106.6,12,85.7,0,115,55,5.5,11.5,3.71
Robert Woods,7822,WR,LA,1,13,0,26,,0,,,0,0,,0,0,0,,56.0,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,7.3,2,61.5,33.3,1,3,11.1,1,3,0,54.9,66.9,1,22,2.9,1,35,8,88.6,31,43.8,13,100.0,0,70,49,6.1,8.8,2.26
Allen Robinson II,8696,WR,CHI,1,13,0,6,9.3,1,33.3,0.0,0,1,0.0,0,1,0,64.7,61.4,0,14,0.0,0,18,1,88.9,16,49.3,3,23.1,0,14,10,10.0,14.0,0.88,0,15.5,1,60.0,60.0,3,5,14.3,1,4,0,49.2,68.1,1,27,0.0,0,37,6,94.6,35,49.2,10,76.9,0,88,11,1.8,14.7,2.51
Michael Thomas,10681,WR,NO,1,13,0,20,9.9,0,71.4,100.0,2,2,0.0,0,3,0,73.4,79.7,0,24,0.0,0,17,5,100.0,17,99.7,7,53.8,0,64,10,2.0,12.8,3.76,0,9.3,0,83.3,100.0,1,1,16.7,1,3,0,46.3,70.7,0,15,0.0,0,23,5,95.7,22,107.6,6,46.2,0,59,16,3.2,11.8,2.68
DeAndre Hopkins,7808,WR,HST,1,13,0,13,,0,,,0,0,,0,0,0,,56.2,0,0,0.0,0,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,0,14.0,0,54.5,50.0,1,2,33.3,3,5,0,28.0,72.0,0,38,0.0,0,30,6,93.3,28,116.1,11,84.6,1,101,28,4.7,16.8,3.61
Danny Amendola,4717,WR,DET,1,12,0,11,4.0,0,50.0,,0,0,0.0,0,0,0,64.7,55.6,0,3,0.0,0,11,1,90.9,10,56.3,2,16.7,0,3,0,0.0,3.0,0.3,0,10.0,2,66.7,,0,0,14.3,1,5,0,49.2,76.4,0,47,0.0,0,23,6,95.7,22,141.4,9,75.0,1,101,43,7.2,16.8,4.59
John Ross,11764,WR,CIN,1,12,0,7,,0,,,0,0,,0,0,0,,52.8,0,0,0.0,0,11,0,81.8,9,0.0,0,0.0,0,0,0,,,0.0,0,14.9,3,63.6,0.0,0,1,22.2,2,6,0,35.3,78.8,0,55,0.0,0,36,7,97.2,35,146.8,11,91.7,2,158,60,8.6,22.6,4.51
Sammy Watkins,8639,WR,KC,1,11,0,16,19.0,0,0.0,,0,0,,0,0,0,,52.7,0,0,10.0,1,10,0,60.0,6,39.6,2,18.2,0,0,0,,,0.0,0,7.1,3,100.0,100.0,1,1,0.0,0,5,0,77.3,94.1,0,68,0.0,0,27,9,88.9,24,158.3,9,81.8,3,198,135,15.0,22.0,8.25
Christian McCaffrey,11763,HB,CAR,1,11,0,5,,0,,,0,0,,0,0,0,,56.2,0,0,42.9,3,7,0,57.1,4,0.0,0,0.0,0,0,0,,,0.0,0,2.6,0,90.0,100.0,1,1,0.0,0,3,0,77.3,81.0,0,17,5.9,2,34,9,91.2,31,98.3,10,90.9,0,76,51,5.7,8.4,2.45
Julio Jones,6158,WR,ATL,1,11,0,2,,0,,,0,0,,0,0,0,64.7,56.4,0,0,0.0,0,9,0,66.7,6,0.0,0,0.0,0,0,0,,,0.0,0,9.8,1,50.0,0.0,0,4,0.0,0,3,0,73.4,63.4,1,10,0.0,0,33,5,93.9,31,16.7,10,90.9,0,29,15,3.0,5.8,0.94
Odell Beckham Jr.,8647,WR,CLV,1,11,0,8,8.0,0,100.0,,0,0,0.0,0,1,0,72.1,75.9,0,24,0.0,0,7,2,71.4,5,118.8,2,18.2,0,26,10,5.0,13.0,5.2,0,12.7,0,57.1,,0,0,0.0,0,2,0,72.1,64.7,1,16,0.0,0,40,4,90.0,36,33.9,7,63.6,0,40,7,1.8,10.0,1.11
Larry Fitzgerald,1724,WR,ARZ,1,11,0,1,17.5,0,62.5,50.0,2,4,0.0,0,3,0,73.4,75.0,0,45,0.0,0,37,5,91.9,34,144.8,8,72.7,1,98,8,1.6,19.6,2.88,0,2.0,0,100.0,100.0,1,1,0.0,0,0,0,70.5,54.7,0,6,4.5,1,22,3,86.4,19,87.5,3,27.3,0,15,9,3.0,5.0,0.79
D.J. Moore,48267,WR,CAR,1,10,0,5,11.0,0,100.0,,0,0,0.0,0,2,0,68.3,78.1,0,15,0.0,0,7,2,100.0,7,118.8,2,20.0,0,29,7,3.5,14.5,4.14,0,10.3,1,62.5,50.0,1,2,0.0,0,3,1,73.4,63.2,0,13,0.0,0,33,5,97.0,32,78.6,8,80.0,0,47,7,1.4,9.4,1.47
Julian Edelman,5156,WR,NE,1,10,0,19,9.3,1,66.7,100.0,1,1,0.0,0,3,0,72.1,72.9,0,17,0.0,0,21,4,90.5,19,92.4,6,60.0,0,50,17,4.3,12.5,2.63,0,3.3,0,50.0,,0,0,33.3,1,1,0,70.5,72.7,0,24,0.0,0,14,2,92.9,13,78.1,4,40.0,0,33,19,9.5,16.5,2.54
Tyler Boyd,10689,WR,CIN,1,10,0,7,9.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,63.0,0,14,0.0,0,13,1,84.6,11,72.9,2,20.0,0,14,2,2.0,14.0,1.27,0,7.1,0,87.5,100.0,1,1,0.0,0,2,0,75.6,62.4,0,13,0.0,0,34,7,97.1,33,90.6,8,80.0,0,46,5,0.7,6.6,1.39
Cooper Kupp,11824,WR,LA,1,10,0,26,6.0,0,100.0,,0,0,0.0,0,1,0,64.7,73.3,0,10,0.0,0,3,1,100.0,3,108.3,1,10.0,0,10,4,4.0,10.0,3.33,0,3.9,0,75.0,,0,0,0.0,0,2,0,74.6,62.5,0,8,0.0,0,33,6,90.9,30,83.3,8,80.0,0,36,21,3.5,6.0,1.2
KeeSean Johnson,39587,WR,ARZ,1,10,0,1,13.8,0,25.0,0.0,0,1,0.0,0,1,0,64.7,56.2,0,15,0.0,0,30,1,96.7,29,42.7,4,40.0,0,15,0,0.0,15.0,0.52,0,11.8,0,60.0,,0,0,0.0,0,2,0,70.5,67.5,1,12,0.0,0,19,3,89.5,17,31.7,5,50.0,0,23,1,0.3,7.7,1.35
Donte Moncrief,8725,WR,PIT,1,10,0,25,11.1,0,28.6,0.0,0,3,33.3,1,0,0,29.9,46.2,0,3,0.0,0,36,2,91.7,33,39.6,7,70.0,0,4,0,0.0,2.0,0.12,0,7.0,0,33.3,0.0,0,2,0.0,0,0,0,64.7,56.0,0,3,0.0,0,9,1,88.9,8,42.4,3,30.0,0,3,4,4.0,3.0,0.38
George Kittle,11901,TE,SF,1,10,0,28,0.8,1,100.0,100.0,2,2,0.0,0,2,0,73.4,93.6,0,6,10.0,1,10,4,70.0,7,85.4,4,40.0,0,18,15,3.8,4.5,2.57,0,6.7,0,66.7,,0,0,0.0,0,2,0,72.1,75.4,0,19,15.8,3,19,4,78.9,15,82.6,6,60.0,0,36,32,8.0,9.0,2.4
Christian Kirk,47546,WR,ARZ,1,10,0,1,10.8,0,33.3,0.0,0,2,0.0,0,2,0,70.5,63.3,0,9,0.0,0,36,2,91.7,33,42.4,6,60.0,0,14,6,3.0,7.0,0.42,0,13.0,0,50.0,,0,0,0.0,0,2,0,68.3,61.3,0,10,0.0,0,19,2,89.5,17,62.5,4,40.0,0,18,5,2.5,9.0,1.06
Tarik Cohen,11874,HB,CHI,1,10,0,6,3.0,0,100.0,100.0,2,2,0.0,0,1,0,72.1,67.5,0,7,0.0,0,12,3,91.7,11,90.3,3,30.0,0,17,8,2.7,5.7,1.55,0,4.6,1,71.4,100.0,1,1,16.7,1,1,0,45.8,58.4,0,9,0.0,0,31,5,93.5,29,80.7,7,70.0,0,32,17,3.4,6.4,1.1
