player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Terrell Suggs,1326,ED,ARZ,1,0,0,100.0,0,1,1,45.5,80.6,10.3,90.3,63.1,75.8,0,5,0,15,0.0,0,0,1,118.8,1,2,2,0,2,65,63,0,1,62,0,0,2,40,23,0,4,3,1,7,0,15,6,15.0
Thomas Davis Sr.,2231,LB,LAC,1,3,0,66.7,0,0,27,43.9,50.8,76.5,59.3,64.1,84.1,0,0,0,20,0.0,0,0,0,127.8,4,0,55,0,29,63,2,0,0,2,0,2,61,1,33,4,2,8,6,0,1,44,27,11.0
Lorenzo Alexander,2476,ED,BUF,1,1,0,100.0,0,0,4,48.5,66.5,75.7,72.4,64.5,76.1,0,4,0,6,0.0,0,0,0,91.7,1,1,10,0,5,26,15,0,0,15,0,1,11,16,5,0,1,2,1,5,0,6,4,6.0
Johnathan Joseph,2969,CB,HST,1,0,0,83.3,0,0,13,66.8,68.1,77.9,,68.7,67.9,0,0,0,15,11.1,1,0,0,93.8,5,0,1,64,45,66,0,0,0,0,0,0,66,0,21,1,2,8,6,0,0,39,12,7.8
Antoine Bethea,3152,S,NYG,1,1,0,100.0,0,0,21,40.9,47.8,76.1,59.1,75.5,83.9,0,0,0,45,0.0,0,0,0,158.3,2,0,20,0,35,68,0,0,0,0,0,46,68,1,32,2,2,5,2,0,1,73,15,36.5
Tramon Williams,3558,CB,GB,1,0,0,54.5,0,0,12,73.6,69.2,0.0,60.0,63.1,81.9,0,0,0,14,0.0,0,1,2,63.4,6,0,2,10,56,71,0,0,0,0,0,1,71,1,14,58,1,3,11,0,0,42,38,7.0
Eric Weddle,3653,S,LA,1,3,0,100.0,0,0,26,74.4,78.1,73.7,,62.8,82.5,0,0,0,2,0.0,0,0,0,79.2,1,0,6,0,13,25,0,0,0,0,0,15,25,0,12,4,2,4,1,0,0,2,1,2.0
Brandon Mebane,3701,DI,LAC,1,0,0,,0,0,27,,60.0,78.3,53.4,61.7,70.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,33,33,27,6,0,0,0,0,11,22,0,2,5,0,0,0,0,0,
Dominique Rodgers-Cromartie,4330,CB,WAS,1,0,0,0.0,0,0,32,65.2,53.4,69.1,,45.9,34.9,0,0,0,,25.0,1,0,0,39.6,0,0,2,4,3,8,0,0,0,0,0,0,8,0,5,2,0,3,1,0,0,0,0,
Aqib Talib,4334,CB,LA,1,0,0,40.0,0,0,26,57.9,59.8,77.8,,66.1,24.3,0,0,0,16,66.7,2,1,0,59.6,2,0,2,57,43,65,0,0,0,0,0,0,65,0,22,6,0,1,5,0,0,29,10,14.5
