player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Mike Evans,8642,WR,TB,16,168,0,30,0,-1.0,0,100.0,,0,0,0.0,0,0,0,90.2,48.4,0,9,0.0,0,52,4,94.2,49,89.6,4,2.4,0,22,26,6.5,5.5,0.45,19.2,1,60.0,33.3,1,3,11.8,2,14,0,53.7,90.9,0,45,0.0,0,123,15,93.5,115,124.6,25,14.9,2,275,34,2.3,18.3,2.39
Odell Beckham Jr.,8647,WR,NYG,16,161,0,21,0,-2.0,0,66.7,,0,0,0.0,0,0,0,84.5,39.1,0,1,0.0,0,48,2,93.8,45,70.1,3,1.9,0,-5,1,0.5,-2.5,-0.11,8.2,5,66.7,0.0,0,1,11.1,2,10,0,65.4,89.4,0,41,0.0,0,96,16,95.8,92,118.6,24,14.9,2,191,74,4.6,11.9,2.08
Antonio Brown,5718,WR,PIT,15,151,0,25,0,-1.1,2,92.0,,0,0,0.0,0,5,0,93.4,76.1,0,13,0.0,0,73,23,97.3,71,87.5,25,16.6,0,125,157,6.8,5.4,1.76,7.4,0,70.0,66.7,2,3,0.0,0,7,0,91.4,87.1,0,32,0.0,0,82,14,90.2,74,105.8,20,13.2,1,138,42,3.0,9.9,1.86
Larry Fitzgerald,1724,WR,ARZ,16,147,0,1,0,-1.5,1,86.7,,0,0,0.0,0,3,0,92.4,63.5,0,12,0.0,0,46,13,95.7,44,85.0,15,10.2,0,66,86,6.6,5.1,1.5,7.8,11,72.4,66.7,6,9,4.5,3,33,1,88.2,75.9,3,25,0.2,1,442,63,92.3,408,86.7,87,59.2,3,566,203,3.2,9.0,1.39
Jordy Nelson,4350,WR,GB,16,146,0,12,0,-0.8,1,100.0,,0,0,0.0,0,5,0,92.1,73.7,0,15,0.0,0,66,12,98.5,65,97.6,12,8.2,0,89,99,8.3,7.4,1.37,10.7,2,77.3,100.0,1,1,2.9,1,22,1,87.8,80.3,0,58,0.0,0,190,34,95.3,181,153.2,44,30.1,6,498,204,6.0,14.6,2.75
Julian Edelman,5156,WR,NE,16,146,0,19,0,-2.7,2,100.0,,0,0,0.0,0,3,0,92.7,70.3,0,21,0.0,0,69,15,92.8,64,117.8,15,10.3,1,104,144,9.6,6.9,1.63,8.1,9,72.4,100.0,1,1,7.4,5,31,0,35.4,79.0,0,77,0.0,0,321,63,93.1,299,104.8,87,59.6,2,724,346,5.5,11.5,2.42
Allen Robinson II,8696,WR,JAX,16,144,0,15,0,-1.5,1,100.0,,0,0,0.0,0,1,0,84.5,45.8,0,7,0.0,0,64,2,98.4,63,87.5,2,1.4,0,10,13,6.5,5.0,0.16,10.5,1,68.0,33.3,1,3,0.0,0,9,1,48.6,69.2,1,22,0.0,0,153,17,91.5,140,82.3,25,17.4,1,161,33,1.9,9.5,1.15
T.Y. Hilton,7092,WR,IND,16,143,0,14,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,41.7,0,0,0.0,0,31,1,93.5,29,79.2,1,0.7,0,0,0,0.0,0.0,0.0,12.3,5,66.2,80.0,4,5,5.8,3,33,0,54.9,84.3,3,63,0.0,0,374,49,94.4,353,95.8,74,51.7,3,745,246,5.0,15.2,2.11
Michael Crabtree,4933,WR,OAK,16,142,0,23,0,-2.6,4,100.0,,0,0,0.0,0,2,1,91.8,77.3,0,17,0.0,0,40,10,97.5,39,93.3,10,7.0,0,64,90,9.0,6.4,1.64,7.2,6,69.8,100.0,2,2,16.7,6,13,2,40.8,82.4,0,49,0.0,0,170,30,94.7,161,101.3,43,30.3,1,344,154,5.1,11.5,2.14
Demaryius Thomas,5547,WR,DEN,16,141,0,10,0,-0.7,0,100.0,,0,0,0.0,0,3,0,91.8,73.1,0,44,0.0,0,38,9,92.1,35,138.9,9,6.4,1,76,82,9.1,8.4,2.17,10.3,2,46.2,,0,0,7.7,1,7,0,71.0,82.1,1,16,0.0,0,122,12,94.3,115,45.4,26,18.4,0,130,43,3.6,10.8,1.13
