player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Ben Roethlisberger,1732,QB,PIT,1,1,1,2.48,9.0,27.0,18.0,0,0,0,0,25,60.0,0,27,0,0,0.0,18,0,1,2.48,9,0,27
Andy Lee,1906,P,ARZ,16,94,94,4.37,42.64,48.6,9.5,0,0,12,24,1,75.6,33,64,7,0,46.8,420,44,94,410.53,4008,7,4568
Donnie Jones,1939,,LAC,14,58,58,4.09,36.97,41.45,6.9,0,0,6,14,27,44.7,16,59,8,0,44.8,180,26,58,237.45,2144,4,2404
Dustin Colquitt,2316,P,KC,16,48,48,4.41,40.29,44.4,5.7,1,0,10,14,16,67.7,25,67,2,0,35.4,97,17,49,211.72,1934,5,2131
Sam Koch,3148,P,BLT,17,66,66,4.26,40.14,47.12,10.3,1,0,7,11,3,71.8,29,65,8,0,53.0,361,35,67,281.06,2649,5,3110
Brett Kern,4580,P,TEN,16,74,74,4.2,42.26,47.07,9.0,1,0,7,16,31,68.6,39,62,15,0,44.6,296,33,75,310.82,3127,3,3483
Kevin Huber,5066,P,CIN,16,71,71,4.2,39.99,43.93,7.3,1,0,12,24,7,53.8,30,69,2,0,42.3,220,30,72,298.37,2839,3,3119
Thomas Morstead,5088,P,NO,15,46,46,4.53,43.26,46.3,5.0,0,0,3,17,20,80.0,16,60,10,0,26.1,60,12,46,208.46,1990,4,2130
Britton Colquitt,5192,P,CLV,16,83,83,4.33,39.16,45.39,10.7,2,0,11,22,8,64.4,32,79,7,0,44.6,397,37,85,359.48,3250,6,3767
Matt Bosher,6344,P,ATL,16,60,60,4.46,41.42,45.48,6.8,2,0,6,21,2,68.8,24,57,3,0,45.0,184,27,62,267.66,2485,3,2729
Chris Jones,6798,P,DAL,18,69,69,4.45,39.35,44.35,8.5,0,0,11,16,9,68.9,20,63,4,0,52.2,305,36,69,306.89,2715,2,3060
Bryan Anger,7072,P,TB,16,57,57,4.41,39.58,45.04,8.6,1,0,7,16,30,61.4,15,64,3,0,47.4,231,27,58,251.46,2256,4,2567
Johnny Hekker,7252,P,LA,17,44,44,4.15,42.66,45.93,8.7,0,0,10,7,26,77.4,22,68,13,0,27.3,104,12,44,182.43,1877,2,2021
Marquette King,7410,P,DEN,4,20,20,3.96,39.7,44.05,8.4,0,0,4,2,10,61.3,8,66,5,0,40.0,67,8,20,79.29,794,1,881
Sam Martin,7947,P,DET,16,74,74,4.26,39.16,44.73,11.4,0,0,13,25,11,63.3,32,61,3,0,39.2,332,29,74,314.93,2898,4,3310
Caleb Sturgis,7948,K,LAC,1,1,1,2.85,24.0,24.0,,0,0,1,0,27,60.0,1,24,0,0,0.0,0,0,1,2.85,24,0,24
Colton Schmidt,8104,P,BUF,3,16,16,3.7,33.75,42.25,16.0,0,0,2,4,4,38.0,4,55,2,0,37.5,96,6,16,59.18,540,2,676
Ryan Allen,8242,P,NE,16,68,68,4.11,39.16,44.97,9.8,0,0,16,8,19,58.4,24,66,11,0,38.2,255,26,68,279.52,2663,7,3058
Tress Way,8358,P,WAS,16,79,79,4.37,41.49,45.33,9.8,0,0,19,26,32,69.2,43,63,3,0,39.2,303,31,79,345.07,3278,0,3581
Pat O'Donnell,8826,P,CHI,17,68,68,4.39,40.37,44.62,7.1,1,0,14,21,6,67.7,34,65,5,0,30.9,149,21,69,298.33,2745,7,3034
Michael Palardy,9277,P,CAR,16,61,61,4.4,40.95,45.23,8.2,0,0,7,24,5,75.3,26,59,4,0,36.1,181,22,61,268.58,2498,4,2759
Bradley Pinion,9598,P,SF,16,68,68,4.47,39.68,43.72,7.8,1,0,4,28,28,64.7,23,64,7,0,36.8,195,25,69,303.69,2698,4,2973
Matt Darr,9812,,BUF,5,20,20,3.96,36.25,40.45,8.0,0,0,5,5,4,43.8,5,55,1,0,40.0,64,8,20,79.23,725,1,809
Matt Wile,9972,P,MIN,16,72,72,4.43,42.04,45.21,6.1,1,0,11,19,18,64.8,29,70,9,0,43.1,188,31,73,319.18,3027,2,3255
Jordan Berry,10236,P,PIT,16,63,63,4.41,38.83,43.7,14.2,0,0,12,25,25,64.7,30,69,6,0,25.4,227,16,63,277.79,2446,4,2753
Drew Kaser,10813,P,GB,4,13,13,4.23,38.08,48.38,16.3,1,0,2,2,12,60.5,7,66,1,0,53.8,114,7,14,55.02,495,1,629
Riley Dixon,10862,P,NYG,16,71,71,4.21,41.82,45.44,6.6,0,0,15,16,21,56.0,24,60,9,0,38.0,177,27,71,298.96,2969,4,3226
Lachlan Edwards,10869,P,NYJ,16,82,82,4.15,40.79,45.89,7.6,0,0,10,15,22,52.5,25,67,10,0,51.2,318,42,82,340.14,3345,5,3763
Rigoberto Sanchez,12130,P,IND,18,68,68,4.37,42.59,45.81,3.8,0,0,12,21,14,64.0,29,63,3,0,38.2,99,26,68,297.31,2896,6,3115
Matt Haack,12212,P,MIA,16,87,87,4.38,38.85,44.64,10.4,1,0,10,25,17,68.2,38,65,9,0,42.5,384,37,88,381.0,3380,6,3884
Cameron Johnston,12255,P,PHI,18,71,71,4.17,43.13,47.94,5.9,0,0,5,22,24,51.2,31,68,3,0,47.9,202,34,71,296.32,3062,7,3404
Johnny Townsend,22261,P,OAK,16,70,70,4.29,38.3,43.17,8.6,0,0,10,22,23,47.6,19,64,5,0,40.0,241,28,70,299.96,2681,5,3022
Corey Bojorquez,27626,P,BUF,8,45,45,4.26,40.24,45.07,6.9,1,0,8,9,4,53.0,23,60,4,0,44.4,137,20,46,191.53,1811,4,2028
Logan Cooke,29214,P,JAX,16,86,86,4.34,41.26,45.02,5.0,0,0,11,18,15,58.1,39,72,13,0,43.0,184,37,86,373.36,3548,7,3872
Michael Dickson,35381,P,SEA,17,85,85,4.21,42.76,48.46,9.1,1,0,14,10,29,73.8,35,69,14,0,49.4,384,42,86,357.92,3635,5,4119
Colby Wadman,38062,P,DEN,12,65,65,4.31,37.91,44.69,11.1,0,0,5,18,10,64.3,23,65,8,0,41.5,301,27,65,280.33,2464,7,2905
J.K. Scott,38809,P,GB,15,71,71,4.52,39.3,44.73,10.3,1,0,11,27,12,64.2,21,67,4,0,28.2,206,20,72,320.88,2790,9,3176
Trevor Daniel,38843,P,HST,17,79,79,4.22,39.39,43.94,7.6,0,0,9,25,13,56.0,39,61,6,0,43.0,259,34,79,333.2,3112,5,3471
