player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,15,1,1,3,69.5,11,19,394,99.8,11.4,45,1,4.1,1,424,423,31,0,71.8,6,15,183,100.0,15.3,28,5.7,0,194,194,21
Malcolm Jenkins,4937,S,NO,16,0,0,20,57.3,1,3,48,7.4,8.3,4,2,6.3,1,679,50,5,0,57.5,1,2,25,8.6,8.0,2,10.0,1,301,26,4
Jason McCourty,5127,S,MIA,7,0,0,17,54.5,0,0,4,2.1,0.0,0,0,0.0,0,194,4,0,0,55.5,0,0,2,2.2,0.0,0,0.0,0,93,2,0
Steve McLendon,5232,DI,TB,12,0,1,30,65.4,5,7,159,98.2,9.4,15,1,4.4,1,168,165,13,0,78.3,3,7,62,98.5,19.4,12,9.7,1,65,64,11
Ndamukong Suh,5527,DI,TB,17,1,0,30,54.2,7,24,491,98.5,8.4,41,3,4.4,6,524,516,37,0,56.1,4,17,217,98.7,12.9,28,6.7,4,233,230,25
Gerald McCoy,5528,DI,LV,1,0,0,23,55.2,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Tyson Alualu,5535,DI,PIT,2,0,0,25,59.4,1,1,38,100.0,7.9,3,0,2.6,0,40,40,2,0,61.3,1,1,29,100.0,10.3,3,3.4,0,30,30,2
Brandon Graham,5538,ED,PHI,2,0,0,24,60.6,1,1,30,100.0,10.0,3,0,3.3,0,32,32,2,0,69.2,1,1,14,100.0,21.4,3,7.1,0,15,15,2
Jason Pierre-Paul,5540,ED,TB,12,4,0,30,53.2,3,18,365,88.8,6.0,22,3,3.7,3,437,388,24,1,55.4,1,11,157,92.4,8.3,13,5.1,2,185,171,14
Kareem Jackson,5545,S,DEN,15,0,0,10,61.0,0,0,2,0.4,50.0,1,0,50.0,1,533,2,1,0,56.5,0,0,2,0.8,0.0,0,0.0,0,257,2,0
Devin McCourty,5552,S,NE,17,0,0,19,52.3,0,1,6,1.0,0.0,0,0,8.3,0,595,6,1,0,54.0,0,1,2,0.8,0.0,0,25.0,0,253,2,1
Jerry Hughes,5556,ED,BUF,17,3,2,4,81.1,3,39,312,94.5,18.6,58,5,7.7,3,363,343,45,0,81.0,2,22,147,94.8,23.8,35,10.2,3,172,163,27
Linval Joseph,5571,DI,LAC,14,0,1,27,83.0,1,14,231,100.0,13.4,31,2,3.7,1,252,252,16,0,87.1,0,8,74,100.0,24.3,18,6.8,1,83,83,9
Carlos Dunlap,5579,ED,SEA,17,6,0,29,68.5,5,20,287,87.5,15.3,44,2,7.8,10,353,309,35,4,70.3,3,12,156,94.9,17.3,27,9.3,7,178,169,22
Corey Peters,5607,DI,ARZ,14,1,0,1,63.7,0,8,163,96.7,7.4,12,1,2.5,0,181,175,8,0,61.4,0,4,53,100.0,11.3,6,3.8,0,56,56,4
Everson Griffen,5624,ED,MIN,9,0,0,18,79.0,6,22,285,97.5,19.3,55,7,6.7,5,317,309,33,0,85.8,4,16,139,97.5,28.8,40,9.4,3,158,154,23
Al Woods,5646,DI,SEA,16,3,0,29,61.9,3,13,291,97.8,8.2,24,2,3.4,2,316,309,18,1,63.2,1,6,80,100.0,11.3,9,5.6,1,89,89,8
Anthony Levine,6013,S,BLT,2,0,0,3,51.7,0,0,4,16.0,0.0,0,0,0.0,0,25,4,0,0,59.6,0,0,1,33.3,0.0,0,0.0,0,3,1,0
Andrew Sendejo,6118,S,IND,11,0,3,14,55.5,0,1,10,2.7,0.0,0,3,5.0,0,410,11,1,0,51.2,0,0,5,2.3,0.0,0,0.0,0,215,5,0
Von Miller,6154,ED,LA,15,0,1,26,74.9,8,43,409,89.2,18.6,76,5,8.4,9,482,430,60,0,80.1,6,35,202,93.8,26.7,54,13.1,6,224,210,47
J.J. Watt,6163,DI,ARZ,7,2,0,1,83.1,11,16,208,98.2,18.3,38,1,7.0,1,221,217,28,1,81.9,5,10,88,100.0,22.7,20,9.7,1,92,92,16
Robert Quinn,6166,ED,CHI,16,0,2,6,79.7,4,25,377,90.3,15.4,58,6,8.6,18,445,402,47,0,86.4,3,18,178,94.2,21.9,39,14.9,16,206,194,37
Ryan Kerrigan,6168,ED,PHI,16,0,0,24,58.5,1,15,187,99.0,10.2,19,0,4.3,0,198,196,16,0,63.2,1,9,74,98.8,18.9,14,6.8,0,80,79,10
Cameron Jordan,6176,ED,NO,16,4,0,20,69.7,11,27,513,97.8,11.9,61,2,6.2,13,557,545,51,1,72.3,6,14,230,98.4,15.7,36,7.8,8,249,245,28
Jimmy Smith,6179,CB,BLT,10,0,0,3,56.2,0,0,2,1.1,0.0,0,1,0.0,0,190,2,0,0,,0,0,0,0.0,,0,,0,77,0,0
Cameron Heyward,6183,DI,PIT,17,8,0,25,85.8,7,43,543,100.0,15.7,85,6,6.6,11,574,574,61,4,88.9,3,29,271,100.0,20.3,55,9.2,9,289,289,41
Jabaal Sheard,6189,ED,MIA,1,0,0,17,52.6,0,0,8,88.9,0.0,0,1,0.0,0,9,8,0,0,55.5,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Justin Houston,6222,ED,BLT,15,0,0,3,77.4,12,22,368,93.8,14.4,53,1,6.3,6,417,391,40,0,86.2,8,12,163,93.6,20.9,34,8.0,3,187,175,23
K.J. Wright,6251,LB,LV,17,0,0,23,52.1,0,2,4,1.9,50.0,2,1,25.0,0,206,4,2,0,56.3,0,1,2,2.4,50.0,1,25.0,0,83,2,1
Buster Skrine,6289,CB,TEN,6,0,1,31,52.4,0,1,4,2.4,0.0,0,1,12.5,0,164,4,1,0,59.7,0,0,1,1.3,0.0,0,0.0,0,79,1,0
Richard Sherman,6306,CB,TB,5,0,0,30,64.9,0,1,5,4.1,40.0,2,2,10.0,0,122,5,1,0,54.7,0,0,2,4.3,0.0,0,0.0,0,47,2,0
Pernell McPhee,6317,ED,BLT,10,0,0,3,54.4,2,4,124,91.3,8.9,11,1,3.2,1,150,137,7,0,54.0,1,3,58,91.3,10.3,6,5.2,1,69,63,5
Lawrence Guy,6385,DI,NE,17,0,0,19,56.6,4,9,218,100.0,7.8,17,0,3.9,2,234,234,15,0,72.0,2,4,47,100.0,23.4,11,8.5,1,51,51,7
Malcolm Smith,6394,LB,CLV,15,0,0,8,48.2,0,0,18,6.8,0.0,0,2,0.0,0,263,18,0,0,53.1,0,0,3,2.9,0.0,0,0.0,0,105,3,0
Chris Harris Jr.,6457,CB,LAC,14,0,1,27,64.3,1,2,15,3.2,6.7,1,4,10.0,0,469,15,3,0,80.9,0,1,5,2.0,20.0,1,10.0,0,249,5,1
Josh Bynes,6503,LB,BLT,14,1,0,3,76.6,1,3,27,9.7,14.8,4,0,14.8,2,298,29,6,1,86.6,0,3,12,12.5,25.0,3,20.8,1,96,12,4
Mario Addison,6558,ED,BUF,17,0,1,4,65.6,1,27,291,95.2,14.8,43,3,7.2,7,335,319,35,0,69.0,1,17,142,94.0,20.4,29,10.6,6,168,158,24
Fletcher Cox,7018,DI,PHI,16,0,1,24,74.1,6,31,438,100.0,13.5,59,5,5.1,4,462,462,41,0,81.0,4,21,196,100.0,20.9,41,7.9,3,209,209,28
Michael Brockers,7020,DI,DET,16,0,0,11,48.0,0,5,292,99.3,3.4,10,2,1.2,1,307,305,6,0,55.4,0,2,89,100.0,9.0,8,2.2,1,95,95,3
Bruce Irvin,7021,ED,CHI,6,1,0,6,55.4,2,3,82,95.5,7.3,6,1,3.0,0,89,85,5,0,59.4,2,2,33,100.0,12.1,4,6.1,0,36,36,4
Melvin Ingram III,7024,ED,KC,15,1,0,16,74.1,10,29,346,91.2,15.0,52,3,6.5,3,407,371,42,1,73.0,8,20,186,92.6,19.4,36,7.5,0,216,200,28
Chandler Jones,7027,ED,ARZ,15,4,1,1,89.8,15,21,444,91.4,14.6,65,5,6.5,11,525,480,47,0,83.7,9,10,184,94.0,17.4,32,8.4,6,217,204,25
Dont'a Hightower,7030,LB,NE,15,1,0,19,58.7,2,15,104,31.1,10.6,11,1,10.1,2,351,109,19,1,62.3,2,11,67,50.7,16.4,11,12.7,2,140,71,15
