player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Malcolm Jenkins,4937,S,NO,13,504,0,20,1,7.8,52.9,87.4,17.1,9.1,0,2,11.8,56.4,1,31,18.2,2,2,52.1,9,166,32.9,190,1,8,17,0,124,68,0.8,13.8,0,3,4.9,84.0,94.6,13.2,11.1,0,2,8.0,64.3,0,26,3.2,1,2,121.5,21,297,58.9,314,13,27,25,2,169,79,0.6,8.0
Jason McCourty,5127,S,MIA,7,190,0,17,0,8.1,62.5,97.0,18.6,11.6,0,3,37.5,78.9,0,23,0.0,0,3,75.5,5,98,51.6,101,2,5,8,0,41,19,0.4,8.2,0,2,12.3,100.0,98.8,26.0,26.0,0,0,0.0,63.2,0,25,0.0,0,0,118.8,3,80,42.1,81,0,3,3,0,45,8,0.6,15.0
Steve McLendon,5232,DI,TB,8,2,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,15,0,0,0,0,0,0,,,0,0,,,1.4,,,0,0,,65.6,1,,0.0,0,0,0.0,0,1,50.0,73,0,1,0,0,0,0,0.0,
Ndamukong Suh,5527,DI,TB,13,8,0,30,1,,,0.0,,,0,0,,60.0,0,,33.3,1,0,0.0,0,0,0.0,108,1,1,0,0,0,0,,,0,0,3.0,100.0,1.6,4.0,4.0,1,0,0.0,57.3,0,5,0.0,0,0,87.5,1,4,50.0,254,6,2,1,0,5,2,1.3,5.0
Joe Haden,5532,CB,PIT,8,285,0,25,2,14.0,88.9,100.0,7.3,6.4,0,1,11.1,44.5,0,37,0.0,0,1,155.8,8,64,22.5,64,0,5,9,1,125,31,2.2,15.6,0,1,12.5,47.1,100.0,21.6,10.2,0,3,17.6,75.1,0,14,30.0,3,3,56.7,8,181,63.5,181,3,6,17,0,63,25,0.4,7.9
Jason Pierre-Paul,5540,ED,TB,11,47,0,30,0,,,1.0,,,0,0,,52.8,0,,25.0,1,0,0.0,0,1,2.1,98,3,3,0,0,0,0,0.0,,0,1,3.0,100.0,14.0,4.6,4.6,0,0,0.0,64.8,0,24,22.2,4,0,143.8,8,38,80.9,272,5,13,8,1,72,48,1.9,9.0
Kareem Jackson,5545,S,DEN,12,436,0,10,0,8.3,66.7,98.9,41.5,27.7,0,1,16.7,58.3,0,8,25.0,5,1,70.1,4,173,39.7,175,2,15,6,0,17,15,0.1,4.3,0,0,6.7,78.6,100.0,11.1,8.7,0,0,0.0,49.7,1,17,5.0,1,0,69.9,11,129,29.6,129,3,19,14,0,111,67,0.9,10.1
Devin McCourty,5552,S,NE,13,462,0,19,0,8.8,50.0,99.0,65.0,32.5,1,1,16.7,63.2,1,13,8.3,1,1,23.6,3,205,44.4,207,0,11,6,0,28,7,0.1,9.3,0,5,19.4,40.0,98.3,53.5,21.4,0,4,40.0,70.2,1,33,6.7,1,4,29.6,4,225,48.7,229,0,9,10,0,81,15,0.4,20.3
Jerry Hughes,5556,ED,BUF,13,17,0,4,0,14.0,0.0,5.4,,5.0,0,0,0.0,72.9,0,,0.0,0,0,39.6,0,5,29.4,93,1,1,1,0,0,0,0.0,,0,2,3.5,50.0,6.7,9.0,4.5,0,0,0.0,45.3,0,18,0.0,0,0,81.3,1,10,58.8,149,1,0,2,0,18,3,2.0,18.0
Carlos Dunlap,5579,ED,SEA,13,36,0,29,1,,,1.8,,,0,0,,60.6,0,,0.0,0,0,0.0,0,1,2.8,55,2,1,0,0,0,0,,,0,0,1.5,100.0,17.1,13.0,13.0,0,0,0.0,56.9,0,4,0.0,0,0,79.2,2,28,77.8,164,1,2,2,0,5,2,0.2,2.5
