player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,17,56,56,4.2,42.11,48.96,8.9,0,0,5,11,1,48.1,13,62,3,0,57.1,284,32,56,235.15,2358,5,2742
Dustin Colquitt,2316,P,CLV,11,48,48,4.11,39.1,44.46,9.4,1,0,5,10,8,57.1,15,66,9,0,43.8,197,21,49,197.29,1877,3,2134
Robbie Gould,2607,K,SF,1,2,2,4.03,45.0,45.0,,0,0,1,1,28,58.6,1,47,0,0,0.0,0,0,2,8.05,90,0,90
Sam Koch,3148,P,BLT,17,71,71,4.26,40.01,44.35,7.4,0,0,10,16,3,67.0,28,61,10,0,43.7,228,31,71,302.65,2841,4,3149
Brett Kern,4580,P,TEN,14,47,47,4.1,40.43,44.79,10.3,0,0,7,11,31,64.5,18,59,10,0,38.3,185,18,47,192.48,1900,1,2105
Kevin Huber,5066,P,CIN,17,68,68,4.21,41.16,46.38,8.1,0,0,8,15,7,56.7,24,61,10,0,42.6,235,29,68,286.44,2799,6,3154
Thomas Morstead,5088,P,ATL,14,45,45,4.25,42.04,47.18,10.1,0,0,4,17,2,68.7,21,64,3,0,42.2,191,19,45,191.33,1892,2,2123
Bryan Anger,7072,P,DAL,18,70,70,4.48,45.1,48.73,6.7,0,0,8,27,9,77.1,29,63,5,0,37.1,174,26,70,313.84,3157,4,3411
Johnny Hekker,7252,P,LA,18,56,56,4.2,42.32,43.75,6.0,0,0,11,26,26,65.8,28,59,8,0,17.9,60,10,56,235.08,2370,1,2450
Sam Martin,7947,P,DEN,17,67,67,4.17,42.82,46.01,6.4,0,0,7,24,10,72.2,31,68,9,0,35.8,154,24,67,279.63,2869,3,3083
Tress Way,8358,P,WAS,15,60,60,4.31,42.07,48.35,9.1,1,0,8,14,32,63.1,22,66,5,1,43.3,237,26,61,258.88,2524,7,2901
Pat O'Donnell,8826,P,CHI,17,62,62,4.09,38.55,46.21,11.0,0,0,7,13,6,57.0,20,72,3,0,54.8,375,34,62,253.87,2390,5,2865
Michael Palardy,9277,P,MIA,17,78,78,4.14,40.09,44.73,8.7,0,0,12,27,17,54.7,31,65,4,0,38.5,262,30,78,323.27,3127,5,3489
Bradley Pinion,9598,P,TB,16,63,63,4.39,39.4,43.16,7.6,0,0,9,18,30,61.3,28,65,8,0,41.3,197,26,63,276.77,2482,2,2719
Ty Long,9728,K,LAC,14,46,46,4.2,37.57,45.46,11.1,1,0,4,5,27,50.9,12,69,6,0,63.0,323,29,47,193.27,1728,2,2091
Jordan Berry,10236,P,MIN,17,78,78,4.12,41.35,46.46,8.7,1,0,10,15,18,57.0,28,64,11,0,50.0,339,39,79,321.1,3225,3,3624
Riley Dixon,10862,P,NYG,17,74,74,4.16,39.54,44.36,8.5,0,0,17,15,21,51.2,24,63,8,0,37.8,237,28,74,307.55,2926,6,3283
Lachlan Edwards,10869,P,CAR,10,38,38,4.07,41.61,47.92,8.7,1,0,2,9,5,55.3,9,62,2,0,60.5,200,23,39,154.73,1581,2,1821
Zane Gonzalez,11979,K,CAR,1,1,1,3.37,20.0,40.0,,0,0,0,0,5,60.0,0,40,0,0,0.0,0,0,1,3.37,20,1,40
Harrison Butker,11988,K,KC,1,1,1,3.21,31.0,31.0,,0,0,1,0,16,60.0,1,31,0,0,0.0,0,0,1,3.21,31,0,31
Younghoe Koo,12042,K,ATL,1,2,2,2.95,35.0,35.0,,0,0,1,0,2,57.5,0,45,1,0,0.0,0,0,2,5.89,70,0,70
Rigoberto Sanchez,12130,P,IND,17,59,59,4.23,39.66,44.53,9.5,0,0,8,15,14,70.6,26,79,7,0,47.5,267,28,59,249.86,2340,1,2627
Matt Haack,12212,P,BUF,15,52,52,4.06,38.35,42.88,5.6,1,0,9,11,4,49.9,18,63,8,0,32.7,96,17,53,210.9,1994,7,2230
Cameron Johnston,12255,P,HST,17,88,88,4.14,41.74,46.68,7.9,0,0,10,22,13,62.1,39,69,7,0,51.1,355,45,88,364.16,3673,4,4108
Tristan Vizcaino,13076,K,LAC,1,1,1,4.01,26.0,32.0,6.0,0,0,0,0,27,60.0,1,32,0,0,0.0,6,0,1,4.01,26,0,32
Johnny Townsend,22261,P,KC,4,13,13,3.96,36.77,42.77,11.6,0,0,0,5,16,46.7,3,63,2,0,38.5,58,5,13,51.44,478,1,556
Corey Bojorquez,27626,P,GB,17,53,53,4.29,39.98,46.55,12.8,0,0,7,12,12,62.4,22,82,9,0,39.6,268,21,53,227.18,2119,4,2467
Logan Cooke,29214,P,JAX,15,64,64,4.34,44.27,47.28,8.2,1,0,8,26,15,72.6,32,68,8,0,32.8,173,21,65,277.96,2833,1,3026
Ryan Winslow,30026,P,WAS,4,16,16,4.01,37.44,39.06,2.9,0,0,3,3,32,45.4,3,46,1,0,56.3,26,9,16,64.15,599,0,625
Tommy Townsend,33007,P,KC,16,41,41,4.32,42.61,45.95,4.3,0,0,5,11,16,46.3,23,68,4,0,43.9,77,18,41,177.02,1747,3,1884
Sterling Hofrichter,33541,P,TB,2,6,6,4.34,34.17,37.83,11.0,0,0,0,4,30,59.5,3,45,0,0,33.3,22,2,6,26.04,205,0,227
Joseph Charlton,33672,P,JAX,6,24,24,4.54,38.04,40.54,10.0,1,0,2,14,15,61.8,8,57,3,0,16.7,40,4,25,108.98,913,1,973
Jake Bailey,33963,P,NE,18,52,52,4.17,41.27,47.27,10.7,3,0,6,14,19,63.1,28,71,8,0,34.6,192,18,55,216.88,2146,6,2458
Matt Ammendola,34039,K,NYJ,1,6,6,3.98,42.5,48.5,12.0,0,0,0,1,22,56.0,2,65,2,0,50.0,36,3,6,23.88,255,0,291
Jack Fox,34735,P,DET,17,65,65,4.24,42.31,49.2,8.8,0,0,11,10,11,59.9,18,70,2,0,53.8,308,35,65,275.69,2750,7,3198
