player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Mykal Walker,57834,LB,ATL,2,7,,7.0,2,0,39.6,0,1,0,0,0,0.0
Steven Parker,51220,S,NYG,2,5,,5.0,21,0,39.6,0,1,0,0,0,0.0
Khari Willis,51304,S,IND,6,15,,15.0,14,0,39.6,0,1,0,0,0,0.0
Markus Golden,9491,ED,ARZ,3,4,,4.0,1,0,39.6,0,1,0,0,0,0.0
Breon Borders,39398,CB,TEN,2,5,,5.0,31,0,39.6,0,1,0,0,0,0.0
Anthony Nelson,48405,ED,TB,6,4,,4.0,30,0,39.6,0,1,0,0,0,0.0
Karl Joseph,10648,S,PIT,1,6,,6.0,25,0,39.6,0,1,0,0,0,0.0
Kevin Minter,7826,LB,TB,3,7,,3.5,30,0,39.6,0,2,0,0,0,0.0
Jason McCourty,5127,S,MIA,6,22,,11.0,17,0,39.6,0,2,0,0,0,0.0
Sharrod Neasman,11050,S,NYJ,3,12,,12.0,22,0,39.6,0,1,0,0,0,0.0
Robert Quinn,6166,ED,CHI,6,8,,8.0,6,0,39.6,0,1,0,0,0,0.0
Roderic Teamer,51405,S,LV,3,4,,2.0,23,0,39.6,0,2,0,0,0,0.0
Teez Tabor,11808,S,CHI,1,2,,2.0,6,0,39.6,0,1,0,0,0,0.0
Buster Skrine,6289,CB,TEN,1,16,,16.0,31,0,39.6,0,1,0,0,0,0.0
Jaycee Horn,83375,CB,CAR,3,28,,14.0,5,1,0.0,0,2,0,0,0,0.0
Matthias Farley,10953,S,TEN,1,2,,2.0,31,0,39.6,0,1,0,0,0,0.0
Anthony Chesley,54369,CB,IND,2,6,,6.0,14,0,39.6,0,1,0,0,0,0.0
Terrance Mitchell,8888,CB,HST,6,9,,9.0,13,0,39.6,0,1,0,0,0,0.0
Tre Brown,55677,CB,SEA,2,4,,4.0,29,0,39.6,0,1,0,0,0,0.0
Terrence Brooks,8714,S,HST,4,5,,5.0,13,0,39.6,0,1,0,0,0,0.0
Robert Spillane,50918,LB,PIT,4,6,,3.0,25,0,39.6,0,2,0,0,0,0.0
Jackrabbit Jenkins,7043,CB,TEN,8,19,,9.5,31,0,39.6,0,2,0,0,0,0.0
Zaven Collins,77190,LB,ARZ,3,5,,2.5,1,0,39.6,0,2,0,0,0,0.0
Shaquille Quarterman,51048,LB,JAX,2,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Rashaan Melvin,8334,CB,CAR,3,4,,4.0,5,0,39.6,0,1,0,0,0,0.0
Damar Hamlin,43291,S,BUF,3,6,,3.0,4,0,39.6,0,2,0,0,0,0.0
Grant Delpit,60685,S,CLV,11,30,,30.0,8,0,39.6,0,1,0,0,0,0.0
Geno Stone,55967,S,BLT,5,7,,7.0,3,0,39.6,0,1,0,0,0,0.0
Budda Baker,11791,S,ARZ,11,41,41.0,20.5,1,0,95.8,1,2,0,25,2,0.61
Sean Chandler,51315,S,CAR,10,39,39.0,39.0,5,0,104.2,1,1,0,9,5,0.23
Rodney McLeod,7271,S,PHI,8,33,33.0,16.5,24,0,58.3,1,2,0,7,0,0.21
Devin McCourty,5552,S,NE,10,30,30.0,10.0,19,0,47.9,1,3,0,13,3,0.43
Jaylinn Hawkins,51423,S,ATL,9,30,30.0,15.0,2,0,135.4,1,2,1,27,17,0.9
Darious Williams,55724,CB,LA,6,59,29.5,11.8,26,0,50.4,2,5,0,18,5,0.31
Nasir Adderley,33880,S,LAC,10,56,28.0,14.0,27,0,95.8,2,4,1,5,1,0.09
Jevon Holland,83873,S,MIA,11,25,25.0,8.3,17,0,42.4,1,3,0,3,5,0.12
Juston Burris,10752,S,CAR,6,48,24.0,24.0,5,0,118.8,2,2,0,30,12,0.63
K.J. Wright,6251,LB,LV,10,24,24.0,24.0,23,0,95.8,1,1,0,7,15,0.29
Dean Marlowe,9966,S,DET,5,24,24.0,8.0,11,0,42.4,1,3,0,1,1,0.04
