player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndre Hopkins,7808,WR,HST,1,12.2,0,46.7,0.0,0,5,0,12.5,1,4,13,0,52.5,69.5,58.1,,57.7,0.0,0,0,12,0.0,0,58,1,7,82.8,48,6.9,4,78.5,15,1,93.1,54,55,7,1.0,7.9,1.15
Larry Fitzgerald,1724,WR,ARZ,1,11.2,1,46.2,20.0,1,5,0,14.3,1,4,1,0,74.6,68.8,63.2,,62.0,0.0,0,0,33,0.0,0,56,0,6,85.7,48,66.1,37,64.3,13,0,33.9,19,74,43,7.2,12.3,1.54
Randall Cobb,6216,WR,GB,1,2.8,0,75.0,0.0,0,1,0,0.0,0,4,12,0,78.0,71.1,65.7,,67.5,0.0,0,0,29,0.0,0,49,1,9,89.8,44,83.7,41,94.1,12,0,14.3,7,85,67,7.4,9.4,1.93
Amari Cooper,9437,WR,OAK,1,6.0,1,41.7,0.0,0,2,0,44.4,4,3,23,1,26.8,20.6,54.5,,54.3,0.0,0,0,23,0.0,0,38,0,5,92.1,35,21.1,8,86.1,12,1,76.3,29,62,49,9.8,12.4,1.77
Golden Tate,5585,WR,DET,1,5.4,0,83.3,0.0,0,1,0,9.1,1,5,11,0,58.5,72.3,73.9,,72.7,0.0,0,1,19,0.0,0,42,0,10,95.2,40,81.0,34,69.1,12,0,19.0,8,107,42,4.2,10.7,2.68
Tarik Cohen,11874,HB,CHI,1,5.4,3,72.7,0.0,0,1,0,0.0,0,1,6,0,77.3,75.7,80.3,,84.2,0.0,0,0,19,0.0,0,22,0,8,95.5,21,18.2,4,110.8,11,1,4.5,1,47,30,3.8,5.9,2.24
Terrelle Pryor Sr.,6944,WR,WAS,1,15.5,0,54.5,50.0,1,2,0,14.3,1,4,32,0,29.7,68.8,62.1,,64.9,0.0,0,0,28,0.0,0,39,0,6,94.9,37,17.9,7,72.5,11,0,82.1,32,66,29,4.8,11.0,1.78
Antonio Brown,5718,WR,PIT,1,7.9,4,100.0,100.0,2,2,0,0.0,0,7,25,1,79.4,21.2,88.0,,85.5,0.0,0,0,50,0.0,0,40,0,11,92.5,37,22.5,9,118.8,11,0,77.5,31,182,95,8.6,16.5,4.92
Pierre Garcon,4519,WR,SF,1,9.1,3,60.0,50.0,1,2,0,0.0,0,5,28,0,74.6,68.8,75.3,,77.3,0.0,0,0,22,0.0,0,36,0,6,97.2,35,11.1,4,85.8,10,0,88.9,32,81,45,7.5,13.5,2.31
Corey Davis,11760,WR,TEN,1,10.1,1,60.0,100.0,1,1,0,0.0,0,4,31,0,74.6,68.8,66.0,,68.9,0.0,0,0,23,0.0,0,36,0,6,97.2,35,16.7,6,80.8,10,0,83.3,30,69,25,4.2,11.5,1.97
Adam Thielen,8288,WR,MIN,1,10.8,0,90.0,66.7,2,3,0,0.0,0,4,18,0,77.3,70.6,88.8,,87.3,0.0,0,0,44,0.0,0,35,0,9,94.3,33,74.3,26,118.8,10,0,25.7,9,157,57,6.3,17.4,4.76
