player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
DeAndre Hopkins,7808,WR,HST,15,164,0,13,12.8,1,56.1,29.2,7,24,2.6,1,29,0,82.2,87.8,1,72,0.0,0,245,37,87.8,215,102.5,66,40.2,5,550,176,4.8,14.9,2.56,0,15.0,3,59.3,33.3,8,24,6.9,4,36,1,67.5,84.9,4,38,0.0,0,354,54,94.4,334,84.1,91,55.5,4,792,158,2.9,14.7,2.37
Jarvis Landry,8698,WR,MIA,16,156,0,17,7.2,8,73.6,64.3,9,14,4.9,2,23,1,75.0,79.2,1,29,0.4,1,231,39,93.1,215,104.8,53,34.0,3,386,176,4.5,9.9,1.8,0,5.8,9,71.4,33.3,4,12,5.8,4,29,2,73.0,74.6,3,49,0.0,0,363,65,96.4,350,74.1,91,58.3,0,573,337,5.2,8.8,1.64
Antonio Brown,5718,WR,PIT,14,155,0,25,13.2,3,64.9,45.0,9,20,2.6,1,27,1,81.0,88.7,4,51,0.0,0,195,37,90.8,177,88.6,57,36.8,5,444,133,3.6,12.0,2.51,0,15.5,9,65.6,55.0,11,20,6.2,4,41,2,71.4,91.1,2,57,0.0,0,334,61,96.1,321,102.8,93,60.0,2,1068,330,5.4,17.5,3.33
Julio Jones,6158,WR,ATL,17,153,0,2,13.5,10,52.5,25.0,5,20,5.9,2,24,0,69.0,91.0,2,38,0.0,0,167,32,95.2,159,66.5,61,39.9,0,503,217,6.8,15.7,3.16,0,15.2,2,72.3,50.0,9,18,7.7,5,46,0,61.5,90.8,0,53,0.0,0,317,60,95.9,304,121.3,83,54.2,2,1015,307,5.1,16.9,3.34
Larry Fitzgerald,1724,WR,ARZ,16,153,0,1,8.7,1,64.1,52.2,12,23,6.8,3,28,0,66.5,75.0,0,33,0.0,0,275,41,92.4,254,100.2,64,41.8,3,447,155,3.8,10.9,1.76,0,8.5,8,77.9,40.0,6,15,1.5,1,38,1,90.9,78.4,1,37,0.8,3,391,67,92.6,362,107.7,86,56.2,3,706,260,3.9,10.5,1.95
Michael Thomas,10681,WR,NO,17,148,0,20,9.6,4,76.8,66.7,10,15,0.0,0,28,0,90.2,92.2,1,35,0.0,0,168,43,94.6,159,113.3,56,37.8,3,495,181,4.2,11.5,3.11,0,10.4,11,76.1,47.4,9,19,2.9,2,46,0,86.0,87.4,2,46,0.0,0,375,67,95.5,358,97.1,88,59.5,0,866,311,4.6,12.9,2.42
Keenan Allen,7857,WR,LAC,16,147,0,27,9.6,8,67.1,53.8,7,13,9.6,5,35,0,56.4,90.6,1,42,0.4,1,228,47,92.5,211,102.1,70,47.6,3,600,213,4.5,12.8,2.84,0,10.5,4,74.2,50.0,6,12,9.3,5,34,0,56.9,80.3,1,51,0.3,1,308,49,95.5,294,105.1,66,44.9,0,752,292,6.0,15.3,2.56
Demaryius Thomas,5547,WR,DEN,16,136,0,10,11.4,4,56.9,42.9,6,14,15.4,6,25,1,36.6,76.9,2,29,0.0,0,180,33,90.6,163,86.7,58,42.6,4,398,137,4.2,12.1,2.44,0,9.9,5,64.9,71.4,10,14,7.7,4,27,0,57.3,69.0,7,40,0.0,0,365,48,95.3,348,47.2,74,54.4,0,541,154,3.2,11.3,1.55
Adam Thielen,8288,WR,MIN,16,135,0,18,9.9,3,58.6,42.9,6,14,2.9,1,23,0,80.4,83.0,0,65,0.5,1,209,34,89.5,187,92.5,58,43.0,1,499,213,6.3,14.7,2.67,0,11.7,5,78.6,72.7,8,11,5.2,3,34,3,68.4,75.7,1,52,0.3,1,358,55,93.6,335,115.8,70,51.9,2,766,219,4.0,13.9,2.29
A.J. Green,6156,WR,CIN,16,134,0,7,15.3,3,46.2,38.1,8,21,4.0,1,18,1,74.4,73.7,1,70,0.0,0,195,24,91.8,179,80.8,52,38.8,3,363,143,6.0,15.1,2.03,0,13.9,4,61.3,45.5,10,22,8.0,4,34,1,62.5,82.1,6,77,0.0,0,313,46,97.4,305,66.7,75,56.0,2,683,153,3.3,14.8,2.24
