player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Desmond Trufant,7803,CB,ATL,7,0,2,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.4,1,267,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jimmie Ward,8665,S,SF,7,0,28,0,2,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0.9,2,225,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Montae Nicholson,11878,S,WAS,6,0,32,1,1,0,1,0,0,50.0,1,1,50.0,0,0,0,0,1.1,2,182,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Earl Thomas III,5539,S,SEA,7,0,29,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,272,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Casey Hayward Jr.,7064,CB,LAC,8,0,27,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,297,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Duron Harmon,7872,S,NE,8,0,19,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,279,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Charles Washington,11137,S,DET,6,0,11,0,0,0,0,0,0,100.0,2,1,50.0,1,0,0,0,4.5,2,44,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Jerrell Freeman,4888,LB,CHI,1,0,6,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.1,1,32,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Ramik Wilson,9551,LB,KC,3,0,16,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,7.7,2,26,2,50.0,0,0,2,0,100.0,2,2,50.0,0,0,0,0,0,0
Lerentee McCray,8159,ED,JAX,2,0,15,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,85.7,6,7,3,41.7,0,1,0,0,100.0,6,3,41.7,2,1,0,2,1,0
