player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Willie Colon,3076,G,NYJ,6,100.0,1,22,60.9,65.7,56.0,1,9,204,100.0,100.0,97.5,1,10,0,341,0,0,0,341,212,212,341,0,129,0
Brian Winters,7853,G,NYJ,7,100.0,0,22,66.9,74.2,62.2,3,7,193,100.0,100.0,97.4,2,10,0,341,0,3,0,341,202,202,338,0,139,0
Alejandro Villanueva,9091,T,PIT,10,99.7,0,25,53.3,61.6,43.3,3,12,190,99.5,99.5,95.0,1,17,2,338,0,0,329,339,212,213,0,4,126,4
Patrick Omameh,8277,G,CHI,5,100.0,0,6,62.6,41.3,67.8,2,12,185,100.0,100.0,95.7,1,15,1,337,0,75,0,337,194,194,262,0,143,0
Josh LeRibeus,7073,C,WAS,7,100.0,0,32,59.7,59.5,62.8,3,10,212,100.0,100.0,96.9,2,13,0,329,291,37,0,329,221,221,1,0,108,0
Jah Reid,6237,T,KC,5,100.0,1,16,46.4,38.1,55.4,4,12,174,100.0,100.0,93.7,4,19,3,329,0,0,0,329,187,187,0,329,142,0
Martellus Bennett,4375,TE,CHI,10,49.8,0,6,76.8,61.3,80.3,1,2,48,13.3,14.0,96.9,1,3,0,329,0,0,0,660,54,385,0,0,275,471
Kelvin Beachum,7229,T,PIT,6,100.0,0,25,68.0,82.8,61.7,1,2,172,100.0,100.0,97.4,5,6,3,324,0,0,324,324,187,187,0,0,137,0
Oday Aboushi,7923,G,HST,5,100.0,0,13,54.2,65.1,52.5,2,7,190,100.0,100.0,96.6,2,11,2,323,0,323,0,323,200,200,0,0,123,0
Tyler Eifert,7802,TE,CIN,10,48.5,0,7,82.6,66.5,67.7,1,0,59,15.7,15.8,94.1,2,4,3,321,0,1,14,662,64,405,0,10,257,499
Senio Kelemete,7144,G,NO,7,100.0,0,20,65.5,53.8,67.7,2,9,191,100.0,100.0,95.5,0,14,3,320,1,99,0,320,204,204,212,0,116,6
Heath Miller,2247,TE,PIT,10,50.2,0,25,69.2,71.6,65.4,2,2,65,18.5,18.6,96.9,3,4,0,318,0,0,0,633,72,387,0,0,246,532
Eugene Monroe,4931,T,BLT,6,100.0,1,3,72.9,81.2,57.9,1,7,197,100.0,100.0,97.0,2,10,2,316,0,2,314,316,206,206,0,0,110,0
Dennis Kelly,7146,T,PHI,6,100.0,0,24,65.6,58.5,66.3,1,14,181,100.0,100.0,94.2,1,18,3,316,0,0,2,316,194,194,124,190,122,0
Jason Witten,1384,TE,DAL,10,47.3,0,9,63.9,78.0,64.2,0,2,29,8.3,8.6,96.6,5,2,0,314,0,0,0,664,33,383,0,0,281,409
King Dunlap,4544,T,SD,6,100.0,0,27,67.1,69.6,57.5,2,8,185,100.0,100.0,95.7,1,13,3,304,0,0,304,304,199,199,0,0,105,0
Evan Smith,5390,C,TB,5,100.0,1,30,69.8,77.1,66.4,1,4,162,100.0,100.0,97.8,2,6,1,303,106,0,0,303,178,178,197,0,125,0
Brian Schwenke,7889,C,TEN,5,100.0,0,31,63.0,71.9,60.3,0,3,163,100.0,100.0,98.5,1,4,1,303,303,0,0,303,180,180,0,0,123,0
Charles Clay,6326,TE,BUF,10,47.9,0,4,70.6,72.9,67.3,0,0,34,10.0,10.8,100.0,3,0,0,302,0,0,1,631,40,369,0,0,262,404
Benjamin Watson,1753,TE,NO,10,46.1,1,20,73.5,66.8,62.3,2,1,43,11.7,12.7,96.5,4,3,0,294,0,0,0,638,50,394,0,0,244,382
Tre Jackson,9544,G,NE,7,100.0,0,19,69.7,71.3,64.4,2,10,194,100.0,100.0,96.9,0,12,0,293,0,0,0,293,207,207,293,0,86,0
Jameis Winston,9434,QB,TB,10,41.6,0,30,62.9,,60.0,0,0,0,0.0,0.0,,4,0,0,285,0,0,0,685,0,389,0,0,285,0
Jamon Meredith,5086,T,TEN,7,100.0,0,31,62.3,51.2,68.5,3,8,173,100.0,100.0,95.1,3,14,3,284,0,0,14,284,188,188,194,76,96,0
Jonotthan Harrison,9132,C,IND,7,100.0,0,14,61.1,70.8,55.5,2,5,163,100.0,100.0,97.9,0,7,0,282,262,0,1,282,174,174,0,3,108,16
Orlando Franklin,6198,G,SD,5,100.0,0,27,50.5,51.0,49.6,3,13,163,100.0,100.0,93.9,2,18,2,281,0,281,0,281,172,172,0,0,109,0
Andy Gallik,9641,C,TEN,7,100.0,0,31,43.5,47.9,40.9,2,5,161,100.0,100.0,97.2,0,8,1,281,268,4,0,281,175,175,9,0,106,0
C.J. Fiedorowicz,8700,TE,HST,10,64.4,0,13,59.1,81.6,68.0,0,1,63,29.7,30.2,99.2,0,1,0,280,0,0,0,435,67,222,0,2,213,319
Ed Dickson,5595,TE,CAR,10,69.4,1,5,55.8,65.4,52.0,1,5,68,38.0,37.6,95.6,1,6,0,275,0,0,2,396,73,194,0,6,202,203
Rob Gronkowski,5567,TE,NE,10,41.0,1,19,87.6,65.9,84.2,1,1,56,13.3,13.2,98.2,8,2,0,274,0,0,1,668,60,454,0,0,214,298
Jamil Douglas,9547,G,MIA,5,100.0,0,17,45.3,37.8,51.0,6,15,187,100.0,100.0,93.3,1,23,2,274,7,0,0,274,201,201,267,0,73,0
Kyle Rudolph,6195,TE,MIN,10,49.2,0,18,65.2,62.9,65.7,1,1,32,10.6,10.8,93.7,0,3,1,271,0,0,0,551,34,314,0,0,237,363
Joe Looney,7117,C,TEN,5,100.0,2,31,47.6,49.9,45.7,1,8,158,100.0,100.0,95.9,2,11,2,269,82,187,0,269,169,169,0,0,100,0
DeAndre Hopkins,7808,WR,HST,10,35.6,2,13,90.3,66.2,57.8,0,0,1,0.2,0.2,100.0,5,0,0,264,0,0,0,741,1,478,0,0,263,2
Jeff Allen,7642,G,KC,6,100.0,0,16,79.3,77.2,77.8,0,5,139,100.0,100.0,98.2,2,5,0,264,0,199,0,264,149,149,0,63,115,2
Marcedes Lewis,2973,TE,JAX,10,56.2,1,15,60.0,73.3,72.6,2,3,82,30.0,29.7,97.0,3,5,0,264,0,0,0,470,87,293,0,0,177,400
Levine Toilolo,7915,TE,ATL,10,71.9,0,2,58.2,69.6,60.9,1,4,69,42.6,42.3,96.4,3,5,0,258,0,0,0,359,74,175,0,0,184,316
Teddy Bridgewater,8667,QB,MIN,10,41.1,0,18,69.5,,60.0,0,0,0,0.0,0.0,,0,0,0,258,0,0,0,628,0,359,0,0,258,0
Don Barclay,7703,T,GB,6,100.0,1,12,45.8,52.5,39.5,1,18,143,99.3,99.4,91.3,1,22,3,257,0,0,31,257,167,168,8,218,90,0
Carson Palmer,1317,QB,ARZ,10,38.8,0,1,90.8,,60.0,0,0,0,0.0,0.0,,3,0,0,257,0,0,0,662,0,391,0,0,257,0
Kraig Urbik,5002,G,BUF,4,100.0,1,4,65.1,69.6,59.5,0,7,149,100.0,100.0,97.7,2,7,0,255,0,0,0,255,160,160,255,0,95,0
Jermaine Gresham,5546,TE,ARZ,10,62.6,0,1,72.2,67.2,77.4,1,1,39,22.0,21.6,97.4,2,2,0,254,0,0,0,406,42,194,0,0,212,396
Ted Larsen,5728,G,ARZ,4,100.0,0,1,50.9,63.7,45.5,1,4,123,100.0,100.0,98.0,0,5,0,253,0,193,0,253,137,137,60,0,116,0
Matt Ryan,4317,QB,ATL,10,34.6,0,2,81.7,,60.0,0,0,0,0.0,0.0,,0,0,0,252,0,0,0,728,0,462,0,0,252,0
Cam Newton,6153,QB,CAR,10,36.6,0,5,75.1,,60.1,0,0,0,0.0,0.0,,2,0,0,251,0,0,0,685,0,368,0,0,251,0
Russell Wilson,7077,QB,SEA,10,37.5,0,29,73.6,,60.0,0,0,0,0.0,0.0,,4,0,0,250,0,0,0,666,0,385,0,0,250,0
Larry Fitzgerald,1724,WR,ARZ,10,39.8,0,1,90.7,62.6,73.2,0,1,3,0.9,1.0,83.3,1,1,0,249,0,0,0,626,4,381,0,0,245,32
Travis Kelce,7844,TE,KC,10,41.3,0,16,73.4,64.7,56.6,0,1,33,9.1,9.0,98.5,4,1,0,248,0,0,2,600,35,387,0,0,213,366
Andy Dalton,6187,QB,CIN,10,36.1,0,7,81.1,61.3,60.2,0,0,1,0.3,0.2,100.0,2,0,0,246,0,0,0,681,1,408,0,0,245,0
Brent Celek,3778,TE,PHI,10,61.6,0,24,85.4,64.0,78.6,0,2,20,12.1,12.1,95.0,2,2,0,245,0,0,3,398,21,174,0,2,224,353
Brandon Marshall,3064,WR,NYJ,10,38.0,0,22,75.2,,58.6,0,0,0,0.0,0.0,,5,0,0,245,0,0,0,645,0,400,0,0,245,0
Derek Carrier,7406,TE,WAS,10,62.8,0,32,64.8,79.3,60.0,0,0,42,23.2,23.7,100.0,2,0,0,245,0,0,0,390,45,190,0,1,200,314
Eli Manning,1722,QB,NYG,10,35.3,0,21,65.3,,60.0,0,0,0,0.0,0.0,,5,0,0,243,0,0,0,688,0,437,0,0,243,0
Joe Flacco,4332,QB,BLT,10,33.9,0,3,64.9,,60.0,0,0,0,0.0,0.0,,1,0,0,242,0,0,0,713,0,458,0,0,242,0
Cornelius Lucas,9025,T,DET,8,100.0,0,11,53.4,63.3,55.1,3,11,160,100.0,100.0,95.6,4,14,0,242,0,0,0,242,171,171,0,202,71,40
Kirk Cousins,7102,QB,WAS,10,36.7,0,32,66.5,61.3,60.0,0,0,1,0.3,0.2,100.0,5,0,0,242,0,0,0,660,1,412,0,0,241,0
Lance Kendricks,6199,TE,SL,9,69.4,0,26,58.4,70.0,61.3,0,2,35,26.1,27.7,94.3,2,3,1,240,0,0,0,346,41,148,0,2,199,273
Lee Smith,6311,TE,OAK,9,74.9,0,23,70.8,79.9,78.1,0,3,67,46.5,46.7,97.8,1,3,0,239,0,0,1,319,70,150,0,0,169,266
Sam Bradford,5526,QB,PHI,9,37.5,0,24,67.7,,60.0,0,0,0,0.0,0.0,,2,0,0,239,0,0,0,638,0,389,0,0,239,0
Amini Silatolu,7044,G,CAR,4,100.0,0,5,70.0,70.0,66.3,1,4,124,100.0,100.0,97.2,0,6,1,238,0,237,0,238,131,131,0,0,107,1
Jay Cutler,2956,QB,CHI,9,39.4,0,6,75.1,,60.8,0,0,0,0.0,0.0,,0,0,0,236,0,0,0,599,0,350,0,0,236,0
Nick Foles,7089,QB,SL,9,43.7,1,26,63.4,,60.0,0,0,0,0.0,0.0,,5,0,0,235,0,0,0,538,0,294,0,0,235,0
A.J. Green,6156,WR,CIN,10,37.3,1,7,85.6,,63.6,0,0,0,0.0,0.0,,4,0,0,234,0,0,0,627,0,393,0,0,234,1
Rodger Saffold,5558,G,SL,5,100.0,0,26,49.8,37.3,64.2,3,8,132,99.2,99.3,95.1,2,12,1,233,0,0,0,233,140,141,233,0,93,0
Drew Brees,802,QB,NO,9,35.0,0,20,79.5,,60.0,0,0,0,0.0,0.0,,1,0,0,232,0,0,0,663,0,419,0,0,232,0
Ryan Fitzpatrick,2467,QB,NYJ,10,37.6,0,22,60.6,,60.0,0,0,0,0.0,0.0,,3,0,0,232,0,0,0,617,0,365,0,0,232,0
Owen Daniels,3043,TE,DEN,10,43.3,0,10,63.1,60.2,57.6,0,0,39,12.0,12.2,97.4,0,1,1,231,0,0,0,533,42,344,0,0,189,421
Philip Rivers,1725,QB,SD,10,31.7,0,27,69.3,,60.0,0,0,0,0.0,0.0,,3,0,0,227,0,0,0,715,0,483,0,0,227,0
Antonio Brown,5718,WR,PIT,10,36.3,0,25,92.3,,75.0,0,0,0,0.0,0.0,,0,0,0,226,0,0,0,623,0,394,0,0,226,0
Garrett Celek,7274,TE,SF,10,57.8,0,28,66.5,83.9,65.4,0,0,45,22.5,21.8,100.0,1,0,0,226,0,0,0,391,46,211,0,0,180,311
Odell Beckham Jr.,8647,WR,NYG,10,34.8,0,21,81.5,,52.1,0,0,0,0.0,0.0,,1,0,0,225,0,0,0,646,0,420,0,0,225,0
Nate Solder,6169,T,NE,4,100.0,0,19,68.9,65.5,70.7,2,4,137,100.0,100.0,95.6,2,9,3,225,0,0,225,225,148,148,0,0,77,0
John Jerry,5598,G,NYG,9,100.0,0,21,61.9,74.6,53.2,2,1,131,100.0,100.0,98.9,1,3,0,225,0,185,0,225,146,146,40,0,79,0
Aaron Rodgers,2241,QB,GB,10,32.7,0,12,79.1,,60.0,0,0,0,0.0,0.0,,5,0,0,224,0,0,0,685,0,452,0,0,224,0
Andrew Tiller,7169,G,SF,6,100.0,0,28,77.6,82.7,73.9,1,1,131,100.0,100.0,99.2,2,2,0,223,0,0,0,223,141,141,223,0,82,0
Hroniss Grasu,9504,C,CHI,3,100.0,0,6,65.3,66.6,62.9,0,6,129,100.0,100.0,96.9,0,7,1,223,223,0,0,223,141,141,0,0,82,0
Darren Fells,8549,TE,ARZ,8,59.3,0,1,68.4,71.9,60.5,1,1,31,17.6,19.7,96.8,0,2,0,220,0,0,0,371,37,188,0,0,183,309
Craig Stevens,4399,TE,TEN,10,79.3,1,31,84.7,67.6,82.6,2,0,34,39.1,40.6,97.1,1,2,0,219,0,0,1,276,39,96,0,2,180,247
Marcus Cannon,6290,T,NE,6,100.0,1,19,48.4,48.7,52.6,3,9,126,100.0,100.0,94.4,3,13,1,217,0,9,134,217,134,134,9,65,83,0
Tom Brady,698,QB,NE,10,30.9,0,19,92.1,,60.0,0,0,0,0.0,0.0,,1,0,0,217,0,0,0,702,0,468,0,0,217,0
Derek Carr,8671,QB,OAK,10,36.1,0,23,79.4,,60.0,0,0,0,0.0,0.0,,3,0,0,217,0,0,0,601,0,375,0,0,217,0
Alex Smith,2218,QB,KC,10,33.2,0,16,64.3,,60.0,0,0,0,0.0,0.0,,3,0,0,216,0,0,0,650,0,418,0,0,216,0
Rhett Ellison,7128,TE,MIN,9,77.7,0,18,66.7,70.6,69.0,0,0,49,45.4,45.6,98.0,1,1,1,216,0,0,2,278,52,114,0,1,164,230
Jordan Cameron,6254,TE,MIA,10,44.4,1,17,67.7,56.7,71.0,1,2,46,15.4,15.7,92.4,3,5,2,215,0,0,2,484,50,319,0,1,165,281
Jimmy Graham,5619,TE,SEA,10,40.3,0,29,76.3,48.5,56.9,0,1,24,7.2,7.3,93.7,3,2,1,215,0,0,0,534,25,344,0,0,190,319
Marquess Wilson,8019,WR,CHI,10,37.5,0,6,61.8,,61.6,0,0,0,0.0,0.0,,0,0,0,215,0,0,0,574,0,359,0,0,215,1
Robert Woods,7822,WR,BUF,10,38.6,0,4,63.8,,69.5,0,0,0,0.0,0.0,,5,0,0,211,0,0,0,547,0,335,0,0,211,12
Crockett Gillmore,8734,TE,BLT,8,47.0,0,3,76.5,64.7,59.2,1,0,56,20.2,21.0,99.1,2,1,0,210,0,0,5,447,63,300,0,0,147,365
Rueben Randle,7065,WR,NYG,10,33.8,0,21,63.9,,61.8,0,0,0,0.0,0.0,,0,0,0,209,0,0,0,618,0,409,0,0,209,0
Jared Cook,5012,TE,SL,10,45.4,0,26,58.4,67.4,59.3,0,1,24,9.5,9.1,97.9,2,1,0,208,0,0,0,458,25,276,0,0,183,251
Blake Bortles,8638,QB,JAX,10,30.2,0,15,67.0,,60.0,0,0,0,0.0,0.0,,2,0,0,207,0,0,0,686,0,464,0,0,207,0
Ty Sambrailo,9492,T,DEN,3,100.0,0,10,54.7,64.9,44.2,4,4,135,100.0,100.0,96.3,2,9,1,207,0,0,207,207,140,140,0,0,67,0
Xavier Su'a-Filo,8668,G,HST,5,100.0,0,13,64.3,42.9,70.1,3,3,115,100.0,100.0,96.5,0,7,1,204,0,204,0,204,121,121,0,0,83,0
Marvin Jones Jr.,7158,WR,CIN,10,35.5,0,7,69.2,,69.2,0,0,0,0.0,0.0,,4,0,0,203,0,0,0,572,0,365,0,0,203,6
Kamar Aiken,6671,WR,BLT,10,35.2,0,3,70.8,66.5,67.6,0,0,1,0.3,0.3,100.0,1,0,0,203,0,0,0,576,1,374,0,0,202,7
Jordan Matthews,8677,WR,PHI,10,34.4,2,24,60.6,,68.1,0,0,0,0.0,0.0,,3,0,0,203,0,0,0,590,0,387,0,0,203,4
Luke Stocker,6256,TE,TB,8,72.7,0,30,64.2,75.2,72.5,1,0,34,32.4,33.3,98.5,0,1,0,202,0,0,0,278,38,114,0,0,164,225
Michael Williams,7993,TE,NE,10,73.9,0,19,71.1,81.0,78.7,0,2,46,40.0,41.3,97.8,0,2,0,201,0,0,0,272,50,121,0,0,151,206
Allen Robinson II,8696,WR,JAX,10,31.9,0,15,84.2,,71.0,0,0,0,0.0,0.0,,1,0,0,200,0,0,0,626,0,426,0,0,200,0
Zach Fulton,8828,G,KC,5,100.0,0,16,60.6,58.7,58.5,1,7,131,100.0,100.0,96.2,0,9,1,198,0,0,0,198,138,138,195,0,60,3
Peyton Manning,327,QB,DEN,9,35.5,0,10,61.7,,60.0,0,0,0,0.0,0.0,,3,0,0,198,0,0,0,558,0,356,0,0,198,0
Brandon Linder,8728,G,JAX,3,100.0,2,15,69.2,70.8,68.2,0,5,116,100.0,100.0,97.8,3,5,0,197,0,0,0,197,127,127,197,0,70,0
Brandin Cooks,8655,WR,NO,10,31.8,0,20,70.4,65.7,60.5,0,0,1,0.3,0.2,100.0,2,0,0,197,0,0,0,619,1,419,0,0,196,0
Tyrod Taylor,6332,QB,BUF,8,38.6,0,4,74.7,,60.2,0,0,0,0.0,0.0,,2,0,0,197,0,0,0,510,0,283,0,0,197,0
Richard Rodgers,8733,TE,GB,10,37.4,0,12,63.9,45.7,59.0,0,3,24,7.6,7.5,89.6,3,4,1,197,0,0,0,527,27,358,0,1,170,149
Earl Watford,7898,G,ARZ,6,100.0,0,1,62.3,43.3,74.9,5,9,97,100.0,100.0,91.8,1,15,1,197,0,75,0,197,108,108,0,122,89,0
Roddy White,2244,WR,ATL,10,32.9,0,2,59.7,75.6,88.7,0,0,2,0.5,0.5,100.0,4,0,0,196,0,0,0,595,2,401,0,0,194,9
Ryan Tannehill,7014,QB,MIA,10,30.8,0,17,67.6,,60.0,0,0,0,0.0,0.0,,3,0,0,196,0,0,0,636,0,420,0,0,196,0
Julio Jones,6158,WR,ATL,10,31.3,0,2,92.1,,72.8,0,0,0,0.0,0.0,,1,0,0,196,0,0,0,627,0,431,0,0,196,3
Amari Cooper,9437,WR,OAK,10,33.9,1,23,74.1,,62.3,0,0,0,0.0,0.0,,2,0,0,195,0,0,0,575,0,378,0,0,195,0
Dwayne Allen,7066,TE,IND,8,59.9,0,14,56.8,54.2,59.2,0,0,42,25.3,27.4,97.6,2,1,1,194,0,0,3,324,49,179,0,3,145,228
Corey Brown,8986,WR,CAR,9,39.3,0,5,67.3,,62.9,0,0,0,0.0,0.0,,1,0,0,191,0,0,0,486,0,290,0,0,191,5
Eric Decker,5611,WR,NYJ,9,37.5,1,22,76.1,,61.1,0,0,0,0.0,0.0,,4,0,0,191,0,0,0,510,0,319,0,0,191,17
James Jones,3694,WR,GB,10,30.4,0,12,70.5,,62.5,0,0,0,0.0,0.0,,0,0,0,190,0,0,0,625,0,436,0,0,190,8
Calvin Johnson,3618,WR,DET,10,30.3,0,11,87.0,,76.0,0,0,0,0.0,0.0,,1,0,0,190,0,0,0,627,0,437,0,0,190,0
Ryan Hewitt,9107,TE,CIN,10,73.5,0,7,63.0,71.2,63.7,0,0,24,26.4,29.2,95.8,2,1,1,189,0,0,0,257,28,96,0,0,161,112
Marcus Mariota,9435,QB,TEN,8,36.4,0,31,63.6,,60.0,0,0,0,0.0,0.0,,3,0,0,189,0,0,0,519,0,319,0,0,189,0
Kellen Davis,4472,TE,NYJ,10,72.7,0,22,52.2,65.5,62.5,0,2,31,31.3,32.4,96.8,1,2,0,189,0,0,0,260,34,105,0,0,155,240
Will Montgomery,3179,C,CHI,4,100.0,0,6,60.5,62.7,62.7,0,5,98,100.0,100.0,97.4,1,5,0,188,188,0,0,188,104,104,0,0,84,0
Matthew Stafford,4924,QB,DET,10,29.7,0,11,52.4,,60.0,0,0,0,0.0,0.0,,3,0,0,188,0,0,0,634,0,437,0,0,188,0
Allen Hurns,8931,WR,JAX,10,30.8,0,15,80.7,70.1,52.0,0,0,2,0.5,0.5,100.0,0,0,0,188,0,0,0,610,2,424,0,0,186,7
Randall Cobb,6216,WR,GB,10,29.9,0,12,68.8,11.7,62.3,0,1,1,0.3,0.2,50.0,2,1,0,186,0,0,0,622,1,434,0,0,185,4
Gary Barnidge,4455,TE,CLV,10,32.5,0,8,72.1,44.8,45.5,0,1,33,8.4,8.1,95.5,3,2,1,186,0,0,0,573,34,421,0,0,152,267
Patrick Lewis,8452,C,SEA,3,100.0,0,29,64.7,43.1,74.8,1,6,110,100.0,100.0,95.9,1,8,1,185,185,0,0,185,118,118,0,0,67,0
Demaryius Thomas,5547,WR,DEN,10,32.5,0,10,83.3,,71.2,0,0,0,0.0,0.0,,2,0,0,185,0,0,0,569,0,384,0,0,185,2
Ron Leary,7338,G,DAL,3,100.0,1,9,65.4,68.9,64.7,0,4,103,100.0,100.0,96.1,2,6,2,185,0,185,0,185,114,114,0,0,71,0
Zach Miller,5104,TE,CHI,10,62.8,0,6,75.7,77.1,59.7,0,0,10,9.2,8.4,100.0,3,0,0,184,0,0,0,293,10,119,0,0,174,174
Zach Ertz,7816,TE,PHI,10,35.9,0,24,77.8,60.8,78.9,0,1,11,3.5,3.5,95.5,2,1,0,184,0,0,0,512,12,340,0,1,172,360
Jacob Tamme,4441,TE,ATL,9,38.3,2,2,69.1,62.4,55.7,0,1,36,11.5,10.9,98.6,3,1,0,183,0,0,0,478,36,331,0,0,147,252
Rishard Matthews,7211,WR,MIA,10,35.1,0,17,74.1,,67.6,0,0,0,0.0,0.0,,0,0,0,182,0,0,0,519,0,336,0,0,182,1
Mike Evans,8642,WR,TB,9,37.4,0,30,80.9,,62.5,0,0,0,0.0,0.0,,3,0,0,182,0,0,0,487,0,305,0,0,182,1
Vernon Davis,2951,TE,DEN,9,43.5,1,10,65.1,67.9,62.3,1,1,16,6.6,6.4,93.7,1,2,0,181,0,0,0,416,16,251,0,0,165,289
Kendall Lamm,10017,T,HST,9,100.0,0,13,56.6,80.0,46.9,2,1,78,100.0,100.0,98.1,1,3,0,181,0,0,0,181,84,84,0,107,97,74
Keenan Allen,7857,WR,SD,8,33.3,0,27,79.2,,69.4,0,0,0,0.0,0.0,,3,0,0,179,0,0,0,538,0,359,0,0,179,1
Luke Willson,7940,TE,SEA,9,71.5,1,29,69.4,43.3,57.6,1,5,34,33.0,34.3,91.2,3,6,0,178,0,0,0,249,37,108,0,0,141,207
Coby Fleener,7038,TE,IND,10,36.3,0,14,64.5,74.9,65.4,0,1,39,11.6,12.1,98.7,1,1,0,178,0,0,0,491,43,356,0,0,135,305
Donte Moncrief,8725,WR,IND,10,31.8,0,14,68.0,,53.7,0,0,0,0.0,0.0,,0,0,0,178,0,0,0,560,0,382,0,0,178,0
Chris Watt,8724,C,SD,5,100.0,1,27,40.4,22.3,49.4,0,14,102,100.0,100.0,92.2,4,15,1,177,144,31,0,177,105,105,2,0,72,0
Jim Dray,5756,TE,CLV,10,63.8,0,8,46.8,66.4,58.1,1,1,26,21.3,21.9,96.2,2,2,0,176,0,0,0,276,28,128,0,0,148,237
Ted Ginn Jr.,3625,WR,CAR,10,38.6,0,5,68.3,,73.0,0,0,0,0.0,0.0,,0,0,0,176,0,0,0,456,0,277,0,0,176,0
Anthony Fasano,2998,TE,TEN,10,54.2,0,31,75.5,72.3,78.1,0,0,32,18.9,19.6,100.0,1,0,0,175,0,0,0,323,36,184,0,0,139,231
Terrance Williams,7855,WR,DAL,10,33.5,0,9,66.1,,56.2,0,0,0,0.0,0.0,,1,0,0,174,0,0,0,519,0,345,0,0,174,1
Andrew Gardner,5105,G,PHI,3,100.0,0,24,83.1,68.2,85.7,4,3,111,100.0,100.0,96.8,1,7,0,174,0,0,0,174,119,119,174,0,55,0
Virgil Green,6356,TE,DEN,10,66.7,0,10,74.2,67.7,57.3,0,4,37,32.7,31.2,94.6,0,4,0,172,0,0,0,258,39,125,0,0,133,218
Colin Kaepernick,6188,QB,SF,9,34.4,0,28,47.1,,60.0,0,0,0,0.0,0.0,,3,0,0,172,0,0,0,500,0,306,0,0,172,0
Jermon Bushrod,3741,T,CHI,3,100.0,1,6,63.4,71.5,60.9,0,6,89,100.0,100.0,95.5,4,7,1,172,0,0,172,172,95,95,0,0,77,0
Vincent Jackson,2278,WR,TB,7,42.2,0,30,75.2,,83.0,0,0,0,0.0,0.0,,1,0,0,171,0,0,0,405,0,234,0,0,171,13
Kenny Britt,4953,WR,SL,10,40.6,1,26,63.9,,61.3,0,0,0,0.0,0.0,,2,0,0,171,0,0,0,421,0,250,0,0,171,0
Jeremy Maclin,4942,WR,KC,9,32.3,1,16,70.4,,59.1,0,0,0,0.0,0.0,,3,0,0,170,0,0,0,527,0,356,0,0,170,6
Wesley Johnson,8808,C,NYJ,3,100.0,0,22,70.7,71.4,67.8,0,2,111,100.0,100.0,98.2,1,3,1,169,169,0,0,169,117,117,0,0,52,0
Bryan Stork,8740,C,NE,3,100.0,0,19,49.0,49.3,50.2,3,3,98,100.0,100.0,95.9,2,7,1,169,46,10,1,169,105,105,6,106,64,0
T.Y. Hilton,7092,WR,IND,10,28.8,0,14,76.5,,68.1,0,0,0,0.0,0.0,,1,0,0,168,0,0,0,583,0,415,0,0,168,1
Nate Washington,2832,WR,HST,8,34.2,0,13,66.3,,67.9,0,0,0,0.0,0.0,,0,0,0,168,0,0,0,491,0,323,0,0,168,2
Emmanuel Sanders,5606,WR,DEN,9,33.9,0,10,78.6,,64.1,0,0,0,0.0,0.0,,0,0,0,168,0,0,0,496,0,327,0,0,168,0
Pierre Garcon,4519,WR,WAS,10,31.7,1,32,69.0,,57.3,0,0,0,0.0,0.0,,3,0,0,166,0,0,0,523,0,357,0,0,166,0
Malcom Floyd,2044,WR,SD,9,33.3,0,27,66.8,,79.2,0,0,0,0.0,0.0,,0,0,0,165,0,0,0,495,0,330,0,0,165,4
Jarvis Landry,8698,WR,MIA,10,29.8,0,17,85.5,73.1,86.4,0,0,1,0.3,0.3,100.0,2,0,0,165,0,0,0,553,1,374,0,0,164,8
Eric Winston,3011,T,CIN,7,100.0,0,7,61.4,58.8,59.8,1,5,87,100.0,100.0,94.3,1,8,2,165,0,0,3,165,93,93,2,157,72,1
Cory Harkey,7306,FB,SL,10,82.7,0,26,64.6,62.3,67.6,1,2,23,41.8,41.7,89.1,0,4,1,163,0,0,0,197,25,60,0,0,138,29
Jermaine Kearse,7428,WR,SEA,10,33.5,0,29,61.8,,69.5,0,0,0,0.0,0.0,,0,0,0,161,0,0,0,480,0,319,0,0,161,1
Mike Wallace,5007,WR,MIN,10,33.1,1,18,59.8,,52.6,0,0,0,0.0,0.0,,3,0,0,161,0,0,0,487,0,324,0,0,161,4
Doug Baldwin,6615,WR,SEA,10,32.3,0,29,79.8,61.6,78.0,0,0,1,0.3,0.3,100.0,0,0,0,160,0,0,0,495,1,336,0,0,159,13
John Brown,8726,WR,ARZ,9,33.3,0,1,81.5,,70.1,0,0,0,0.0,0.0,,1,0,0,160,0,0,0,481,0,318,0,0,160,0
Larry Donnell,7638,TE,NYG,8,41.8,0,21,58.4,78.7,54.1,0,0,16,7.2,6.7,100.0,2,0,0,160,0,0,0,383,16,239,0,1,144,276
Torrey Smith,6210,WR,SF,10,34.0,1,28,63.3,,60.6,0,0,0,0.0,0.0,,1,0,0,160,0,0,0,470,0,310,0,0,160,0
