player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Charles Woodson,330,S,OAK,4,190,0,23,0,10.5,0.0,100.0,,24.0,0,1,50.0,68.7,0,,25.0,1,1,39.6,0,60,31.6,60,0,3,2,0,0,0,0.0,,0,0,15.6,62.5,99.2,23.8,14.9,0,0,0.0,75.7,2,40,11.1,1,0,61.5,5,122,64.2,123,1,8,8,0,90,34,0.8,18.0
Julius Peppers,1010,ED,GB,4,5,0,12,1,,,2.4,,,0,0,,76.8,0,,0.0,0,0,0.0,0,1,20.0,41,1,0,0,0,0,0,0.0,,0,0,,,5.5,,,0,0,,44.0,0,,50.0,1,0,0.0,0,4,80.0,73,2,1,0,0,0,0,0.0,
James Harrison,1251,ED,PIT,4,23,0,25,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,23,0,0,0,0,0,0,,,0,0,8.8,75.0,36.7,7.3,5.5,0,0,0.0,53.2,0,12,33.3,1,0,81.3,3,22,95.7,60,2,2,4,0,16,11,0.7,5.3
Terence Newman,1321,CB,MIN,4,169,0,18,0,6.9,42.9,100.0,16.7,7.1,0,1,14.3,67.7,0,9,0.0,0,1,52.7,3,53,31.4,53,0,3,7,0,25,8,0.5,8.3,0,2,9.4,70.6,100.0,8.9,6.3,0,1,5.9,56.7,0,27,16.7,2,1,89.6,12,113,66.9,113,2,8,17,0,117,46,1.1,9.8
Terrell Suggs,1326,ED,BLT,1,7,0,3,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,5,0,0,0,0,0,0,,,0,0,,,25.9,,,0,0,,75.1,0,,,0,0,0.0,0,7,100.0,27,0,0,0,0,0,0,0.0,
Calvin Pace,1334,ED,NYJ,4,12,0,22,0,,,2.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,8.3,48,0,0,0,0,0,0,,,0,0,,,22.4,,,0,0,,64.5,0,,,0,0,0.0,0,11,91.7,49,0,0,0,0,0,0,0.0,
Charles Tillman,1351,CB,CAR,4,171,0,5,0,10.6,60.0,96.3,7.7,4.6,0,0,0.0,48.6,0,21,0.0,0,0,77.9,3,26,15.2,27,0,2,5,0,31,18,1.3,10.3,0,0,14.1,60.0,100.0,14.6,8.7,1,3,20.0,66.2,0,48,10.0,1,3,89.6,9,140,81.9,140,3,9,15,0,135,30,1.0,15.0
Rashean Mathis,1355,CB,DET,4,147,0,11,1,4.4,90.9,100.0,4.2,3.8,0,1,9.1,76.1,0,50,0.0,0,1,105.7,10,44,29.9,44,3,6,11,0,103,59,2.5,10.3,0,0,6.4,73.3,98.9,8.4,6.1,0,1,6.7,56.3,0,20,20.0,2,0,95.1,11,93,63.3,94,3,8,15,0,115,56,1.3,10.5
Robert Mathis,1447,ED,IND,3,9,0,14,0,,,4.8,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,21,1,0,0,0,0,0,0.0,,0,0,,,20.8,,,0,0,,63.0,0,,,0,0,0.0,0,5,55.6,24,0,0,0,0,0,0,0.0,
Chris Clemons,1585,ED,JAX,4,1,0,15,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,36,0,0,0,0,0,0,,,0,0,5.0,100.0,1.0,1.0,1.0,0,0,0.0,60.0,0,10,,0,0,108.3,1,1,100.0,96,1,0,1,0,10,5,10.0,10.0
