player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Phil Dawson,422,K,SF,1,1,1,4.38,47.0,48.0,1.0,0,0,0,0,28,60.0,0,48,0,0,100.0,1,1,1,4.38,47,0,48
Shane Lechler,673,P,HST,17,100,100,4.36,38.35,46.98,10.5,0,0,8,16,13,58.7,28,64,2,0,63.0,663,63,100,435.91,3835,10,4698
Mike Scifres,1458,P,SD,16,72,72,4.22,38.42,45.29,10.6,0,0,8,15,27,43.9,15,68,4,0,59.7,455,43,73,303.81,2766,2,3261
Andy Lee,1906,P,CLV,16,70,70,4.44,40.11,46.7,10.3,0,0,7,15,8,71.6,28,67,7,0,52.9,381,37,70,310.73,2808,4,3269
Donnie Jones,1939,P,PHI,16,86,86,4.4,42.6,46.97,5.1,0,1,12,23,24,63.8,31,64,1,1,48.8,215,42,89,378.67,3664,8,4039
Dustin Colquitt,2316,P,KC,18,82,82,4.38,40.6,44.16,7.1,0,0,15,25,16,75.8,42,62,10,0,32.9,192,27,82,359.13,3329,5,3621
Nick Novak,2726,K,HST,1,1,1,4.27,16.0,36.0,,0,0,0,0,13,60.0,0,36,0,0,0.0,0,0,1,4.27,16,1,36
Sam Koch,3148,P,BLT,16,74,74,4.35,43.11,46.57,5.2,0,0,11,13,3,86.9,31,67,11,0,45.9,176,34,74,321.89,3190,4,3446
Jon Ryan,3493,P,SEA,18,76,76,4.35,37.32,44.28,12.2,0,0,11,21,29,69.5,32,69,5,0,42.1,389,32,76,330.45,2836,7,3365
Steve Weatherford,3552,P,NYJ,1,4,4,4.1,30.75,40.25,12.7,0,0,1,0,22,53.0,0,50,0,0,75.0,38,3,4,16.38,123,0,161
Brandon Fields,3841,P,NO,2,10,10,3.99,35.1,41.2,10.5,0,0,2,1,20,54.4,4,57,3,0,20.0,21,2,10,39.87,351,2,412
Brett Kern,4580,P,TEN,16,88,88,4.45,40.34,47.44,12.9,0,0,6,22,31,87.6,37,61,10,0,53.4,605,47,88,391.31,3550,1,4175
Kevin Huber,5066,P,CIN,17,74,74,4.36,40.39,44.86,6.4,0,0,13,17,7,59.4,26,67,4,0,44.6,211,33,75,322.46,2989,6,3320
Thomas Morstead,5088,P,NO,14,56,56,4.44,40.66,45.55,8.1,0,0,2,14,20,70.7,20,58,12,0,42.9,194,24,56,248.42,2277,4,2551
Pat McAfee,5146,P,IND,16,85,85,4.64,41.71,47.66,10.7,0,0,12,23,14,91.9,31,63,7,0,42.4,386,36,85,394.16,3545,6,4051
Britton Colquitt,5192,P,DEN,17,90,90,4.34,39.68,43.54,6.7,0,0,17,15,10,68.4,28,62,13,0,44.4,268,40,90,390.41,3571,4,3919
Tim Masthay,5510,P,GB,18,89,89,4.16,39.62,43.11,4.5,0,0,8,17,12,46.8,23,62,15,0,47.2,191,42,89,370.46,3526,6,3837
