player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,4,0,3,2,66.7,1,1,100.0,28,66.7,0,0,,11,11,100.0,0,1,1,100.0,7,6,85.7,2,2,100.0
Stephen Gostkowski,3063,K,TEN,3,0,4,4,100.0,4,1,25.0,31,53.8,0,0,,7,5,71.4,0,3,3,100.0,12,9,75.0,1,1,100.0
Matt Prater,3471,K,DET,4,0,2,0,0.0,1,1,100.0,11,59.9,0,0,,10,10,100.0,0,4,4,100.0,9,7,77.8,2,2,100.0
Nick Folk,3794,K,NE,4,0,1,0,0.0,2,1,50.0,19,47.0,0,0,,11,10,90.9,0,2,2,100.0,7,5,71.4,2,2,100.0
Mason Crosby,3809,K,GB,4,0,1,1,100.0,4,4,100.0,12,71.7,0,0,,17,16,94.1,0,3,3,100.0,8,8,100.0,0,0,
Ryan Succop,5180,K,TB,4,0,1,0,0.0,2,1,50.0,30,64.2,0,0,,14,13,92.9,0,3,3,100.0,7,5,71.4,1,1,100.0
Graham Gano,5443,K,NYG,4,0,2,1,50.0,2,2,100.0,21,65.6,0,0,,2,2,100.0,0,4,4,100.0,10,9,90.0,2,2,100.0
Dan Bailey,6796,K,MIN,4,0,1,0,0.0,2,1,50.0,18,50.3,0,0,,8,8,100.0,0,2,2,100.0,6,4,66.7,1,1,100.0
Randy Bullock,7154,K,CIN,4,0,1,1,100.0,5,5,100.0,7,66.1,0,0,,9,9,100.0,0,5,4,80.0,13,12,92.3,2,2,100.0
Greg Zuerlein,7163,K,DAL,4,0,1,0,0.0,3,3,100.0,9,61.5,0,0,,11,9,81.8,0,2,2,100.0,6,5,83.3,0,0,
Justin Tucker,7604,K,BLT,4,0,0,0,,4,4,100.0,3,75.6,0,0,,14,14,100.0,0,2,2,100.0,8,8,100.0,2,2,100.0
Dustin Hopkins,7958,K,WAS,4,0,1,0,0.0,3,2,66.7,32,44.5,0,0,,8,7,87.5,0,1,1,100.0,6,4,66.7,1,1,100.0
Brandon McManus,8437,K,DEN,4,0,4,3,75.0,2,2,100.0,10,76.9,0,0,,8,8,100.0,0,0,0,,7,6,85.7,1,1,100.0
Cairo Santos,8932,K,CHI,4,0,1,0,0.0,1,0,0.0,6,53.5,0,0,,8,8,100.0,0,3,3,100.0,7,5,71.4,2,2,100.0
Chris Boswell,8990,K,PIT,3,0,0,0,,1,1,100.0,25,58.4,0,0,,8,7,87.5,0,2,2,100.0,5,5,100.0,2,2,100.0
Cody Parkey,9030,K,CLV,3,0,0,0,,2,2,100.0,8,72.8,0,0,,15,14,93.3,0,2,2,100.0,4,4,100.0,0,0,
Josh Lambo,10133,K,JAX,2,0,1,1,100.0,1,1,100.0,15,60.7,0,0,,7,6,85.7,0,1,1,100.0,3,3,100.0,0,0,
Jason Myers,10207,K,SEA,4,0,1,1,100.0,1,1,100.0,29,76.0,0,0,,18,18,100.0,0,0,0,,2,2,100.0,0,0,
Wil Lutz,11096,K,NO,4,0,0,0,,1,1,100.0,20,72.6,0,0,,15,15,100.0,0,3,3,100.0,6,6,100.0,2,2,100.0
Ka'imi Fairbairn,11161,K,HST,4,0,2,1,50.0,2,2,100.0,13,67.1,0,0,,8,8,100.0,0,1,1,100.0,7,6,85.7,2,2,100.0
Aldrick Rosas,11331,K,JAX,1,0,1,1,100.0,1,0,0.0,15,56.4,0,0,,1,1,100.0,0,2,2,100.0,5,4,80.0,1,1,100.0
Sam Ficken,11437,K,NYJ,4,0,1,1,100.0,1,1,100.0,22,63.9,0,0,,5,5,100.0,0,4,4,100.0,8,8,100.0,2,2,100.0
Jake Elliott,11908,K,PHI,4,0,2,1,50.0,1,1,100.0,24,66.4,0,0,,7,7,100.0,0,4,4,100.0,8,7,87.5,1,1,100.0
Zane Gonzalez,11979,K,ARZ,4,0,3,2,66.7,2,1,50.0,1,57.6,0,0,,12,11,91.7,0,1,1,100.0,7,5,71.4,1,1,100.0
Harrison Butker,11988,K,KC,4,0,2,2,100.0,1,0,0.0,16,75.7,1,1,100.0,13,10,76.9,0,2,2,100.0,8,7,87.5,2,2,100.0
Younghoe Koo,12042,K,ATL,3,0,0,0,,5,4,80.0,2,48.8,0,0,,8,6,75.0,0,2,2,100.0,9,8,88.9,2,2,100.0
Brandon Wright,13421,K,JAX,1,0,0,0,,0,0,,15,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,
Austin Seibert,13701,K,CIN,1,0,0,0,,1,0,0.0,7,29.6,0,0,,1,0,0.0,0,0,0,,1,0,0.0,0,0,
Elliott Fry,21473,K,ATL,1,0,0,0,,0,0,,2,35.6,0,0,,2,1,50.0,0,0,0,,1,1,100.0,1,1,100.0
Daniel Carlson,28121,K,LV,4,0,3,3,100.0,1,0,0.0,23,70.1,0,0,,12,12,100.0,0,1,1,100.0,10,9,90.0,5,5,100.0
Jason Sanders,29578,K,MIA,4,0,1,1,100.0,5,5,100.0,17,78.2,0,0,,6,6,100.0,0,1,1,100.0,9,9,100.0,2,2,100.0
Tyler Bass,33010,K,BUF,4,0,0,0,,0,0,,4,46.5,1,1,100.0,16,15,93.8,0,4,2,50.0,6,4,66.7,1,1,100.0
Rodrigo Blankenship,34038,K,IND,4,0,0,0,,5,4,80.0,14,59.2,0,0,,9,9,100.0,0,6,5,83.3,14,12,85.7,3,3,100.0
Joey Slye,39235,K,CAR,4,0,0,0,,3,2,66.7,5,51.6,0,0,,9,7,77.8,0,3,3,100.0,11,10,90.9,5,5,100.0
Michael Badgley,39417,K,LAC,4,0,2,1,50.0,4,3,75.0,27,59.3,0,0,,8,8,100.0,0,0,0,,9,7,77.8,3,3,100.0
Samuel Sloman,44982,K,LA,4,0,1,0,0.0,0,0,,26,46.2,0,0,,12,11,91.7,0,5,5,100.0,7,5,71.4,1,0,0.0
