player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Andy Dalton,6187,QB,CIN,6,203,71.7,53,55,8.8,2.36,1,2,3.3,56.4,31,19,18.4,62,30.5,7,15,,41.6,46.9,79.0,47.8,,,0,1,67,36.8,69.4,11.3,7,0,0,1,1,5,7.5,289,5.3,0,7,73.5,67.4,65.7,63.7,77.8,126,134,8.1,2.51,2,8,5.8,64.9,87,25,11.2,141,69.5,11,49,,87.6,78.4,82.0,74.7,,81.9,1,4,146,12.0,90.5,2.1,3,4,0,5,6,4,2.7,1022,7.6,77.8,153,158,8.0,2.18,3,6,3.6,66.5,105,0,11.8,159,78.3,14,55,,88.7,69.4,82.5,69.0,,55.7,0,5,167,,87.6,0.0,0,1,0,2,6,7,4.2,1161,7.3,0,65.4,26,31,10.0,3.5,0,4,12.1,41.9,13,44,23.5,44,21.7,4,9,,29.4,60.9,77.7,52.9,,89.9,1,0,46,22.7,67.9,22.7,10,3,0,4,1,2,4.3,150,4.8
Matt Cassel,2447,QB,KC,6,186,65.9,41,47,8.6,2.38,2,2,4.1,53.2,25,13,7.4,48,25.8,2,16,,80.4,57.6,78.0,57.6,,,0,2,50,7.7,74.4,2.1,1,0,0,4,3,2,4.0,276,5.9,0,16,71.7,69.4,69.8,49.3,77.8,117,123,8.5,2.86,2,10,7.9,67.5,83,35,8.8,138,74.2,8,40,,63.8,74.6,81.9,73.8,,59.3,0,5,143,25.7,83.0,6.5,9,6,0,4,5,6,4.2,830,6.7,76.9,134,137,8.8,2.44,2,10,7.1,67.9,93,0,9.7,138,74.2,10,49,,87.4,79.7,81.9,78.2,,58.3,0,5,142,,89.1,0.0,0,1,0,1,7,4,2.8,941,6.9,1,62.5,24,33,6.6,3.58,2,2,5.9,45.5,15,48,0.0,48,25.8,0,7,,30.4,41.8,78.0,40.4,,61.2,0,2,51,20.8,45.6,20.8,10,5,0,7,1,4,7.8,165,5.0
Tarvaris Jackson,3009,QB,SEA,5,186,68.0,25,26,8.2,3.0,0,1,3.6,65.4,17,19,0.0,35,18.8,0,11,,78.6,62.3,76.9,60.4,,65.3,0,1,37,26.3,83.0,14.3,5,4,0,1,1,2,5.4,185,7.1,0,29,72.2,68.0,69.4,52.6,74.8,119,131,8.6,2.75,4,6,4.4,62.6,82,51,7.9,151,81.2,7,38,,88.1,72.8,82.2,70.9,,67.7,2,4,157,25.5,80.6,8.6,13,7,1,5,5,8,5.1,827,6.3,77.6,107,112,6.9,2.48,2,2,1.7,70.5,79,0,4.8,116,62.4,4,38,,86.3,72.6,81.3,71.4,,61.9,0,3,122,,91.3,0.0,0,4,1,2,4,7,5.7,798,7.1,2,62.2,37,45,13.2,3.33,2,5,10.6,44.4,20,70,13.0,70,37.6,3,11,,82.5,65.3,79.3,62.2,,70.4,2,2,72,25.7,55.2,25.7,18,7,0,4,2,3,4.2,214,4.8
Alex Smith,2218,QB,SF,6,182,77.5,40,43,9.3,2.45,1,3,6.4,67.4,29,27,6.5,53,29.1,2,21,,81.3,88.1,78.6,84.8,,64.4,0,0,59,33.3,123.4,17.0,9,1,0,2,4,0,0.0,352,8.2,0,28,53.8,78.3,78.4,55.1,75.5,110,115,6.5,2.77,1,8,6.6,61.7,71,44,14.5,129,70.9,12,30,,62.3,73.6,81.7,70.7,,73.5,2,2,135,15.9,84.6,5.4,7,7,0,2,4,6,4.4,738,6.4,82.5,103,105,5.7,2.41,1,4,3.6,72.4,76,0,10.6,111,61.0,9,33,,86.0,78.6,81.1,76.5,,67.0,0,1,117,,104.4,0.0,0,6,0,1,6,3,2.6,678,6.5,1,61.7,47,53,10.7,3.09,1,7,12.3,45.3,24,71,17.2,71,39.0,5,18,,45.4,78.4,79.6,74.3,,77.5,2,1,77,22.5,76.9,22.5,16,2,0,3,2,3,3.9,412,7.8
Donovan McNabb,438,QB,MIN,6,180,67.4,43,48,9.3,2.66,3,3,6.0,54.2,26,25,10.3,57,31.7,3,18,,81.4,68.5,78.6,67.3,,63.1,1,0,59,24.0,76.4,10.5,6,3,0,1,1,1,1.7,256,5.3,0,18,89.9,70.5,69.3,60.1,70.6,102,108,7.3,2.89,3,5,4.4,63.0,68,49,5.6,123,68.3,4,40,,86.6,71.3,81.5,68.3,,75.9,1,2,128,20.4,85.8,8.1,10,5,0,2,3,0,0.0,770,7.1,71.4,98,102,6.8,2.51,4,3,2.8,62.7,64,0,8.6,106,58.9,6,36,,85.6,73.1,80.9,69.9,,77.2,0,2,110,,81.4,0.0,0,4,0,0,2,0,0.0,701,6.9,0,66.0,47,54,10.1,3.26,2,5,8.8,55.6,30,74,3.2,74,41.1,1,22,,83.1,66.1,79.6,65.1,,63.0,2,0,77,21.6,85.8,21.6,16,4,0,3,2,1,1.3,325,6.0
Jason Campbell,2242,QB,OAK,6,178,63.5,52,60,12.1,2.62,1,3,4.5,48.3,29,33,12.1,64,36.0,4,18,,82.5,61.5,79.2,62.1,,55.7,1,1,70,9.1,67.8,4.7,3,1,0,6,1,1,1.4,386,6.4,0,23,59.5,71.7,75.3,35.5,74.7,99,105,9.7,2.88,0,4,3.6,67.6,71,28,4.1,114,64.0,3,42,,40.7,78.1,81.2,80.5,,39.8,2,3,120,7.1,93.5,1.8,2,7,1,3,5,2,1.7,784,7.5,78.0,109,111,9.8,2.58,0,4,3.3,73.9,82,0,3.5,117,65.7,3,46,,43.3,76.5,81.4,81.1,,28.0,0,3,127,,105.6,0.0,0,6,1,1,6,3,2.4,939,8.5,0,52.4,42,54,12.2,3.18,1,3,5.4,33.3,18,61,18.2,61,34.3,4,14,,81.7,62.3,78.8,58.6,,78.2,3,1,63,8.2,40.0,8.2,5,2,0,8,0,0,0.0,231,4.3
Rex Grossman,1338,QB,WAS,5,177,69.6,56,60,8.3,2.49,1,2,3.3,60.0,36,33,7.7,66,37.3,3,28,,41.0,64.8,79.0,64.7,,58.3,0,3,66,15.2,78.4,7.6,5,1,0,3,3,3,4.5,439,7.3,0,32,48.0,59.1,62.1,43.7,64.8,91,105,9.8,3.0,6,11,9.9,53.3,56,36,5.1,111,62.7,3,33,,53.1,59.3,11.0,59.8,,61.2,1,6,117,11.1,59.7,3.6,4,2,1,6,3,11,9.4,693,6.6,73.5,98,106,8.1,2.65,6,6,5.4,65.1,69,0,4.2,108,61.0,3,46,,85.8,76.3,81.0,74.8,,61.2,0,3,113,,84.9,0.0,0,2,1,1,2,5,4.4,867,8.2,3,53.1,49,59,11.3,3.07,1,7,11.7,39.0,23,69,11.5,69,39.0,3,15,,24.5,39.0,0.0,41.9,,58.3,1,6,70,13.0,36.3,13.0,9,1,0,8,4,9,12.9,265,4.5
Blaine Gabbert,6162,QB,JAX,6,169,51.2,43,46,8.3,2.49,2,1,2.0,43.5,20,24,9.1,59,34.9,2,7,,81.9,29.6,78.9,30.3,,57.5,1,0,64,41.7,54.0,16.9,10,3,0,0,0,3,4.7,173,3.8,0,15,24.7,36.5,44.8,26.8,65.6,90,97,10.2,2.87,1,5,5.0,50.5,49,33,16.9,110,65.1,10,28,,85.8,59.6,81.0,57.7,,71.5,1,2,114,24.2,76.7,7.3,8,5,1,4,4,4,3.5,637,6.6,62.3,106,109,9.4,2.43,2,3,2.6,50.5,55,0,16.7,112,66.3,11,26,,86.0,47.1,81.1,47.6,,60.8,0,2,117,,69.7,0.0,0,3,1,0,3,6,5.1,628,5.8,0,55.6,27,34,10.3,3.36,1,3,8.3,41.2,14,57,6.7,57,33.7,1,9,,81.5,48.3,78.7,45.6,,67.9,2,0,61,31.6,68.5,31.6,18,5,0,4,1,1,1.6,182,5.4
Kyle Orton,2323,QB,DEN,5,166,66.7,39,45,9.7,2.39,2,4,8.2,53.3,24,17,7.7,47,28.3,2,14,,80.5,75.6,78.0,74.2,,,0,3,51,11.8,71.0,4.3,2,0,0,4,3,3,5.9,324,7.2,0,10,70.0,60.6,60.6,50.7,72.3,101,110,7.7,2.68,4,4,3.3,60.9,67,38,8.2,119,71.7,6,44,,61.5,53.4,81.6,53.4,,61.8,1,4,131,18.4,77.7,5.9,7,2,1,3,5,8,6.1,655,6.0,75.2,105,109,8.1,2.33,2,5,4.3,66.1,72,0,8.9,111,66.9,7,48,,86.1,73.0,81.2,71.7,,61.8,0,5,119,,80.6,0.0,0,2,1,1,4,5,4.2,793,7.3,0,57.1,35,46,8.8,3.14,4,3,5.6,41.3,19,55,5.0,55,33.1,1,10,,38.8,39.3,78.8,40.7,,,1,2,63,16.4,64.2,16.4,9,0,0,6,4,6,9.5,186,4.0
Chad Henne,4371,QB,MIA,4,134,76.9,39,45,9.0,2.59,2,3,6.5,64.4,29,29,3.3,58,43.3,1,21,,81.4,76.3,78.6,74.8,,64.8,2,2,59,24.1,77.7,12.1,7,6,0,2,1,1,1.7,357,7.9,0,17,87.6,75.1,73.1,66.4,65.1,63,67,10.2,2.78,1,7,10.0,52.2,35,30,14.6,76,56.7,6,27,,83.4,72.1,79.7,68.3,,76.6,3,2,80,13.3,79.9,5.3,4,5,0,0,3,3,3.8,511,7.6,68.2,66,69,9.8,2.57,3,4,5.6,58.0,40,0,11.1,75,56.0,5,34,,83.2,74.1,79.6,70.2,,76.1,0,2,77,,81.9,0.0,0,6,0,0,2,3,3.9,561,8.1,0,72.2,36,43,9.7,2.86,0,6,13.3,55.8,24,59,7.7,59,44.0,2,14,,81.7,73.7,78.8,72.2,,64.3,5,2,62,18.6,74.5,18.6,11,5,0,2,2,1,1.6,307,7.1
Curtis Painter,5125,QB,IND,5,128,61.5,39,44,8.5,2.12,2,1,2.2,52.3,23,12,4.2,48,37.5,1,10,,22.9,33.0,77.9,33.4,,63.3,2,0,49,25.0,73.2,6.3,3,1,0,1,1,4,8.2,211,4.8,0,14,40.3,47.5,50.1,46.5,70.0,70,75,8.8,2.35,0,8,10.1,56.0,42,16,14.3,80,62.5,7,28,,83.7,62.1,0.0,63.2,,57.9,3,2,84,25.0,92.2,5.0,4,1,0,2,4,4,4.8,662,8.8,69.5,95,98,8.0,2.15,2,8,7.9,60.2,59,0,10.6,100,78.1,7,33,,85.1,58.4,80.6,58.1,,61.8,0,1,103,,98.6,0.0,0,2,0,1,5,5,4.9,789,8.1,2,50.0,14,21,13.4,2.69,0,1,4.3,28.6,6,28,14.3,28,21.9,1,5,,19.2,29.8,0.0,34.0,,,5,1,30,25.0,23.9,25.0,7,0,0,2,0,3,10.0,84,4.0
Matt Moore,4018,QB,MIA,3,104,66.7,39,41,11.2,2.71,0,4,9.3,48.8,20,26,23.1,48,46.2,6,12,,24.4,49.3,78.0,50.0,,,0,1,50,26.9,63.9,14.6,7,0,0,2,1,3,6.0,228,5.6,0,17,26.4,53.1,57.6,28.9,75.0,52,52,8.6,2.68,0,5,9.6,67.3,35,15,10.3,56,53.8,4,17,,81.1,66.1,78.4,65.4,,,0,2,56,26.7,69.4,7.1,4,0,0,0,0,5,8.9,340,6.5,73.0,63,63,8.7,2.43,0,4,6.3,65.1,41,0,10.9,63,60.6,5,21,,81.9,66.4,78.9,65.7,,,0,2,64,,73.6,0.0,0,0,0,0,1,4,6.3,381,6.0,1,67.9,28,30,11.9,3.11,0,5,16.1,46.7,14,41,26.3,41,39.4,5,8,,23.1,45.7,77.3,46.6,,,0,1,42,26.8,53.1,26.8,11,0,0,2,0,4,9.5,187,6.2
Kerry Collins,115,QB,IND,3,103,52.2,23,26,10.9,2.64,0,1,3.8,38.5,10,21,16.7,30,29.1,2,8,,20.7,52.5,76.1,52.9,,,1,1,30,19.0,49.4,13.3,4,0,0,2,1,1,3.3,115,4.4,0,14,22.7,44.0,48.6,29.4,63.1,65,72,8.6,2.35,1,0,0.0,52.8,38,20,7.3,73,70.9,3,21,,45.4,48.3,79.5,49.0,,,2,0,75,5.0,71.9,1.4,1,0,2,2,1,2,2.7,366,5.1,69.0,58,62,8.2,2.27,1,0,0.0,58.1,36,0,10.0,62,60.2,4,21,,81.7,66.3,78.8,65.6,,,0,1,62,,72.6,0.0,0,0,2,1,1,1,1.6,349,5.6,2,43.3,30,36,11.2,2.7,0,1,2.6,33.3,12,41,7.7,41,39.8,1,8,,18.6,29.4,77.4,30.7,,,3,0,43,12.2,54.4,12.2,5,0,0,3,1,2,4.7,132,3.7
John Beck,3656,QB,WAS,2,59,54.5,11,11,9.0,2.04,0,0,0.0,54.5,6,2,0.0,12,20.3,0,4,,72.8,60.1,73.2,60.0,,,0,0,13,50.0,74.1,8.3,1,0,0,0,0,1,7.7,70,6.4,0,32,27.0,59.9,56.0,82.0,75.7,37,41,10.2,2.75,2,2,4.5,58.5,24,15,14.3,47,79.7,4,18,,24.8,58.5,0.0,55.2,,81.9,1,1,50,20.0,82.0,6.4,3,3,0,1,1,5,10.0,326,8.0,69.2,39,41,9.8,2.37,2,1,2.3,56.1,23,0,14.8,42,71.2,4,17,,79.8,61.3,77.6,59.2,,65.6,0,1,45,,77.1,0.0,0,1,0,0,1,4,8.9,298,7.3,1,77.8,9,11,10.6,3.19,0,1,8.3,63.6,7,17,0.0,17,28.8,0,5,,17.3,53.8,0.0,50.3,,74.1,1,0,18,23.5,92.2,23.5,4,2,0,1,0,2,11.1,98,8.9
Charlie Whitehurst,3026,QB,SEA,2,57,57.1,14,15,11.9,2.67,0,0,0.0,53.3,8,5,0.0,19,33.3,0,3,,74.8,45.8,74.7,46.8,,,0,1,20,80.0,65.4,21.1,4,0,0,1,1,2,10.0,88,5.9,0,29,81.4,50.0,51.0,60.2,66.7,30,34,8.8,2.76,1,2,5.7,44.1,15,12,25.0,38,66.7,5,10,,78.7,56.4,77.1,56.0,,61.3,0,0,39,16.7,58.7,5.3,2,2,0,3,0,2,5.1,162,4.8,63.2,38,39,9.2,2.51,1,1,2.5,53.8,21,0,12.5,40,70.2,3,11,,79.2,51.3,77.3,50.7,,62.6,0,1,41,,66.3,0.0,0,1,0,0,1,4,9.8,201,5.2,1,66.7,6,10,13.3,3.25,0,1,9.1,20.0,2,17,50.0,17,29.8,2,2,,73.9,54.7,74.3,56.1,,58.3,0,0,18,35.3,47.5,35.3,6,1,0,4,0,0,0.0,49,4.9
Christian Ponder,6164,QB,MIN,2,55,48.0,25,28,14.0,2.83,0,0,0.0,32.1,9,11,25.0,31,56.4,3,7,,77.7,42.5,76.4,44.6,,54.6,0,0,32,18.2,66.1,6.5,2,1,0,3,2,2,6.3,90,3.2,0,18,81.5,59.1,55.2,72.0,68.4,19,21,12.1,3.24,1,3,13.6,61.9,13,7,0.0,24,43.6,0,11,,76.6,75.9,75.6,69.7,,76.3,0,2,26,0.0,59.3,0.0,0,3,0,1,0,2,7.7,228,10.9,66.7,33,34,11.9,2.77,1,3,8.8,55.9,19,0,13.6,37,67.3,3,15,,78.7,67.1,77.0,64.3,,69.2,0,2,38,,66.7,0.0,0,3,0,0,1,3,7.9,267,7.9,0,27.3,11,15,17.1,3.49,0,0,0.0,20.0,3,18,0.0,18,32.7,0,3,,75.1,42.6,74.7,41.3,,62.9,0,0,20,11.1,63.5,11.1,2,1,0,4,1,1,5.0,51,3.4
Tim Tebow,5550,QB,DEN,2,50,27.3,11,12,14.3,3.39,0,1,7.7,25.0,3,14,0.0,18,36.0,0,3,,74.8,28.1,74.7,28.9,60.0,58.3,0,0,19,35.7,79.2,27.8,5,1,0,1,3,1,5.3,36,3.0,0,10,42.1,53.5,49.3,64.3,65.2,23,25,13.8,3.99,0,2,7.1,56.0,14,11,6.7,32,64.0,1,11,,78.3,80.2,76.8,67.3,59.3,91.2,0,0,35,9.1,82.8,3.1,1,6,1,1,0,1,2.9,204,8.2,63.6,22,23,12.8,3.32,0,2,8.0,56.5,13,0,7.1,25,50.0,1,9,,76.8,66.6,75.9,61.9,59.3,75.0,0,0,27,,97.0,0.0,0,2,1,0,1,1,3.7,184,8.0,0,33.3,12,14,16.2,4.22,0,1,6.3,28.6,4,25,0.0,25,50.0,0,5,,76.8,50.8,75.9,37.4,60.0,84.2,0,0,27,24.0,83.3,24.0,6,5,0,2,2,1,3.7,56,4.0
Luke McCown,1827,QB,JAX,2,48,62.5,16,18,12.3,2.36,0,3,16.7,44.4,8,10,20.0,19,39.6,2,7,,74.5,57.4,74.5,57.5,,,0,2,19,10.0,27.8,5.3,1,0,0,2,0,2,10.5,122,6.8,0,15,33.2,39.3,45.5,31.4,68.2,22,25,4.0,2.67,2,1,3.8,60.0,15,8,0.0,29,60.4,0,6,,77.4,40.8,76.1,39.7,,64.2,1,2,30,25.0,37.4,6.9,2,2,0,0,0,3,10.0,112,4.5,70.4,27,29,7.3,2.42,2,2,6.7,58.6,17,0,10.5,30,62.5,2,10,,77.6,43.4,76.3,45.7,,56.8,0,3,31,,36.6,0.0,0,1,0,0,0,3,9.7,176,6.1,0,54.5,11,14,8.1,2.76,0,2,14.3,42.9,6,18,0.0,18,37.5,0,3,,74.2,55.9,74.3,51.8,,65.9,1,1,18,16.7,25.3,16.7,3,1,0,2,0,2,11.1,58,4.1
A.J. Feeley,893,QB,SL,2,40,61.5,13,15,7.8,2.31,2,0,0.0,46.7,7,7,12.5,16,40.0,1,4,,74.2,46.2,74.1,47.1,,,0,0,17,14.3,65.7,6.3,1,0,0,0,0,0,0.0,89,5.9,0,26,79.4,46.1,47.1,56.7,72.7,22,23,3.1,2.25,1,1,4.2,60.9,14,7,12.5,24,60.0,2,5,,76.1,50.9,75.5,51.4,,,0,1,25,14.3,57.9,4.2,1,0,0,0,0,1,4.0,128,5.6,75.0,24,26,5.0,2.11,2,0,0.0,65.4,17,0,5.6,26,65.0,1,8,,77.0,50.8,75.9,51.4,,,0,1,28,,70.5,0.0,0,0,0,0,0,1,3.6,187,7.2,1,54.5,11,12,4.5,2.58,1,1,8.3,33.3,4,14,33.3,14,35.0,2,1,,72.8,45.3,73.5,46.4,,,0,0,14,14.3,42.4,14.3,2,0,0,0,0,0,0.0,30,2.5
Kyle Boller,1335,QB,OAK,2,36,45.5,11,12,14.8,2.55,0,0,0.0,33.3,4,4,20.0,13,36.1,1,4,,72.8,33.3,73.2,35.4,,,0,1,13,25.0,13.2,7.7,1,0,0,1,0,2,15.4,52,4.3,0,23,29.2,35.4,38.1,45.1,75.0,16,16,9.3,3.11,0,1,5.3,68.8,11,9,8.3,23,63.9,1,5,,76.3,51.3,75.6,47.8,,65.2,0,2,26,22.2,48.2,8.7,2,5,0,0,0,2,7.7,109,6.8,71.4,21,22,7.7,2.53,0,1,4.0,63.6,14,0,6.7,23,63.9,1,7,,76.6,54.1,75.6,55.2,,58.3,0,1,26,,65.5,0.0,0,1,0,1,0,1,3.8,155,7.0,0,33.3,6,6,25.2,3.57,0,0,0.0,16.7,1,13,50.0,13,36.1,1,2,,72.4,28.7,73.2,24.8,,68.0,0,2,13,23.1,0.0,23.1,3,4,0,0,0,3,23.1,6,1.0
Carson Palmer,1317,QB,OAK,1,21,20.0,5,5,16.8,2.1,0,0,0.0,0.0,0,1,100.0,5,23.8,1,0,,68.0,26.9,69.9,28.0,,,0,1,5,0.0,0.0,0.0,0,0,0,0,0,1,20.0,0,0.0,0,23,75.9,38.5,39.7,,56.3,16,16,9.4,2.51,0,1,5.6,50.0,8,1,11.1,16,76.2,1,5,,74.5,52.8,74.3,53.3,,,0,2,18,0.0,34.4,0.0,0,0,0,0,0,1,5.6,116,7.3,47.4,19,19,10.4,2.4,0,1,5.3,36.8,7,0,22.2,19,90.5,2,4,,74.8,41.4,74.5,42.8,,,0,2,19,,14.7,0.0,0,0,0,0,0,1,5.3,98,5.2,0,50.0,2,2,18.5,2.5,0,0,0.0,50.0,1,2,0.0,2,9.5,0,1,,66.9,43.3,69.2,44.8,,,0,1,4,0.0,41.7,0.0,0,0,0,0,0,1,25.0,18,9.0
Mike Kafka,5645,QB,PHI,2,18,100.0,2,2,2.0,2.05,0,0,0.0,100.0,2,0,0.0,2,11.1,0,0,,63.6,59.0,66.9,59.0,,,0,0,2,,100.0,0.0,0,0,0,0,0,0,0.0,16,8.0,0,24,74.8,68.8,69.3,58.3,71.4,14,14,13.6,2.6,0,2,13.3,64.3,9,6,10.0,16,88.9,1,3,,74.2,69.7,74.1,70.4,,58.3,0,2,17,16.7,43.2,6.3,1,1,0,0,0,2,11.8,91,6.5,91.7,12,12,5.9,2.13,0,2,15.4,83.3,10,0,9.1,12,66.7,1,3,,72.8,90.9,73.2,89.6,,,0,0,13,,103.1,0.0,0,0,0,0,0,0,0.0,105,8.8,0,25.0,4,4,31.0,3.37,0,0,0.0,25.0,1,6,0.0,6,33.3,0,0,,68.9,29.5,70.6,30.8,,58.3,0,2,6,16.7,0.0,16.7,1,1,0,0,0,2,33.3,2,0.5
Bruce Gradkowski,3139,QB,CIN,1,13,28.6,7,7,12.1,2.51,0,0,0.0,28.6,2,2,0.0,8,61.5,0,2,,70.3,42.8,71.5,44.1,,,0,0,8,50.0,104.2,12.5,1,0,0,0,1,0,0.0,63,9.0,0,7,73.8,47.8,47.8,58.4,60.0,5,5,12.2,3.06,0,0,0.0,60.0,3,3,0.0,5,38.5,0,1,,68.0,58.9,69.9,58.9,,,0,0,5,0.0,76.3,0.0,0,0,0,0,0,0,0.0,29,5.8,37.5,8,8,10.8,2.3,0,0,0.0,37.5,3,0,0.0,8,61.5,0,2,,70.3,53.1,71.5,53.6,,,0,0,8,,108.3,0.0,0,0,0,0,1,0,0.0,68,8.5,0,50.0,4,4,15.0,3.4,0,0,0.0,50.0,2,5,0.0,5,38.5,0,1,,68.0,45.2,69.9,46.4,,,0,0,5,20.0,68.8,20.0,1,0,0,0,0,0,0.0,24,6.0
Jon Kitna,217,QB,DAL,1,10,100.0,2,2,15.5,2.45,0,2,100.0,100.0,2,1,0.0,2,20.0,0,2,,63.6,94.7,66.9,93.3,,,0,0,2,0.0,118.8,0.0,0,0,0,0,0,0,0.0,53,26.5,0,9,72.1,66.9,66.8,59.8,62.5,8,8,9.3,3.03,0,1,12.5,50.0,4,3,20.0,8,80.0,1,3,,70.3,45.1,71.5,46.3,,,0,2,8,0.0,61.5,0.0,0,0,0,0,1,2,25.0,34,4.3,83.3,6,6,9.5,2.82,0,2,33.3,83.3,5,0,0.0,6,60.0,0,4,,68.9,76.2,70.6,74.7,,,0,1,6,,104.2,0.0,0,0,0,0,1,1,16.7,54,9.0,0,50.0,4,4,12.0,3.05,0,1,25.0,25.0,1,4,50.0,4,40.0,1,1,,66.9,52.2,69.2,52.8,,,0,1,4,0.0,21.9,0.0,0,0,0,0,0,1,25.0,33,8.3
Josh Johnson,4474,QB,TB,2,7,,0,1,,5.35,0,0,0.0,0.0,0,2,,2,28.6,0,0,,63.6,47.2,66.9,60.0,,55.3,0,0,2,0.0,39.6,0.0,0,1,0,1,0,0,0.0,0,0.0,0,30,70.6,52.4,53.0,57.7,66.7,3,4,7.3,3.16,0,0,0.0,50.0,2,2,0.0,5,71.4,0,1,,68.0,53.9,69.9,54.3,,,1,0,5,50.0,58.3,20.0,1,0,0,0,0,0,0.0,14,3.5,66.7,3,3,7.3,2.17,0,0,0.0,66.7,2,0,0.0,3,42.9,0,1,,65.5,57.1,68.2,57.3,,,0,0,3,,77.1,0.0,0,0,0,0,0,0,0.0,14,4.7,0,,0,2,,5.0,0,0,0.0,0.0,0,4,,4,57.1,0,0,,66.9,44.1,69.2,53.2,,55.3,1,0,4,25.0,39.6,25.0,1,1,0,1,0,0,0.0,0,0.0
Richard Bartel,3884,QB,ARZ,1,6,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,1,69.6,37.7,39.3,,60.0,5,6,12.4,2.23,0,0,0.0,33.3,2,1,33.3,6,100.0,1,2,,69.6,37.5,71.1,39.3,,,1,1,7,0.0,5.6,0.0,0,0,0,0,0,0,0.0,22,3.7,60.0,5,5,12.4,2.16,0,0,0.0,40.0,2,0,33.3,5,83.3,1,2,,68.9,37.9,70.6,39.7,,,0,1,6,,14.2,0.0,0,0,0,0,0,0,0.0,22,4.4,0,,0,1,,2.6,0,0,0.0,0.0,0,1,,1,16.7,0,0,,60.4,59.9,64.6,60.0,,,1,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
